time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3.0,3,997,3,1,0
4.0,5,995,5,1,0
5.0,7,993,7,1,0
6.0,13,987,13,1,0
7.0,27,973,27,4,0
8.0,46,954,46,8,0
9.0,91,909,91,15,0
10.0,140,859,140,21,0
11.0,242,757,242,46,0
12.0,376,623,376,75,0
13.0,515,483,515,101,0
14.0,656,340,656,126,0
15.0,783,211,783,150,0
16.0,855,133,855,166,0
17.0,911,65,911,180,1
18.0,923,38,923,186,1
19.0,903,20,903,189,1
20.0,869,10,869,191,1
21.0,794,5,794,188,4
22.0,687,3,687,184,8
23.0,569,0,569,178,15
24.0,445,0,445,172,21
25.0,315,0,315,147,46
26.0,224,0,224,118,75
27.0,145,0,145,92,101
28.0,99,0,99,67,126
29.0,60,0,60,43,150
30.0,36,0,36,27,166
31.0,16,0,16,12,181
32.0,8,0,8,6,187
33.0,3,0,3,3,190
34.0,1,0,1,1,192
35.0,1,0,1,1,192
36.0,1,0,1,1,192
37.0,0,0,0,0,193
38.0,0,0,0,0,193
39.0,0,0,0,0,193
40.0,0,0,0,0,193
41.0,0,0,0,0,193
42.0,0,0,0,0,193
43.0,0,0,0,0,193
44.0,0,0,0,0,193
45.0,0,0,0,0,193
46.0,0,0,0,0,193
47.0,0,0,0,0,193
48.0,0,0,0,0,193
49.0,0,0,0,0,193
50.0,0,0,0,0,193
51.0,0,0,0,0,193
52.0,0,0,0,0,193
53.0,0,0,0,0,193
54.0,0,0,0,0,193
55.0,0,0,0,0,193
56.0,0,0,0,0,193
57.0,0,0,0,0,193
58.0,0,0,0,0,193
59.0,0,0,0,0,193
60.0,0,0,0,0,193
61.0,0,0,0,0,193
62.0,0,0,0,0,193
63.0,0,0,0,0,193
64.0,0,0,0,0,193
65.0,0,0,0,0,193
66.0,0,0,0,0,193
67.0,0,0,0,0,193
68.0,0,0,0,0,193
69.0,0,0,0,0,193
70.0,0,0,0,0,193
71.0,0,0,0,0,193
72.0,0,0,0,0,193
73.0,0,0,0,0,193
74.0,0,0,0,0,193
75.0,0,0,0,0,193
76.0,0,0,0,0,193
77.0,0,0,0,0,193
78.0,0,0,0,0,193
79.0,0,0,0,0,193
80.0,0,0,0,0,193
81.0,0,0,0,0,193
82.0,0,0,0,0,193
83.0,0,0,0,0,193
84.0,0,0,0,0,193
85.0,0,0,0,0,193
86.0,0,0,0,0,193
87.0,0,0,0,0,193
88.0,0,0,0,0,193
89.0,0,0,0,0,193
90.0,0,0,0,0,193
91.0,0,0,0,0,193
92.0,0,0,0,0,193
93.0,0,0,0,0,193
94.0,0,0,0,0,193
95.0,0,0,0,0,193
96.0,0,0,0,0,193
97.0,0,0,0,0,193
98.0,0,0,0,0,193
99.0,0,0,0,0,193
100.0,0,0,0,0,193
