time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,4,9996,4,1,0
2.0,7,9993,7,2,0
3.0,12,9988,12,2,0
4.0,22,9978,22,4,0
5.0,42,9958,42,10,0
6.0,51,9949,51,13,0
7.0,89,9911,89,22,0
8.0,180,9820,180,43,0
9.0,497,9503,497,121,0
10.0,1043,8957,1043,229,0
11.0,1951,8046,1951,442,0
12.0,3197,6798,3197,720,0
13.0,4523,5467,4523,993,0
14.0,5757,4224,5757,1281,1
15.0,6791,3176,6791,1503,1
16.0,7631,2329,7631,1715,2
17.0,8223,1708,8223,1834,2
18.0,8623,1236,8623,1929,4
19.0,8755,859,8755,2018,10
20.0,8617,556,8617,2088,13
21.0,8150,316,8150,2135,22
22.0,7281,194,7281,2144,43
23.0,6220,119,6220,2084,121
24.0,5210,67,5210,1987,229
25.0,4196,42,4196,1777,442
26.0,3307,19,3307,1503,720
27.0,2543,8,2543,1232,993
28.0,1882,5,1882,944,1282
29.0,1382,1,1382,722,1504
30.0,939,1,939,509,1717
31.0,636,1,636,390,1836
32.0,447,1,447,293,1933
33.0,296,0,296,199,2028
34.0,182,0,182,126,2101
35.0,104,0,104,70,2157
36.0,55,0,55,40,2187
37.0,28,0,28,22,2205
38.0,15,0,15,11,2216
39.0,8,0,8,8,2219
40.0,4,0,4,4,2223
41.0,2,0,2,2,2225
42.0,1,0,1,1,2226
43.0,1,0,1,1,2226
44.0,1,0,1,1,2226
45.0,1,0,1,1,2226
46.0,1,0,1,1,2226
47.0,0,0,0,0,2227
48.0,0,0,0,0,2227
49.0,0,0,0,0,2227
50.0,0,0,0,0,2227
51.0,0,0,0,0,2227
52.0,0,0,0,0,2227
53.0,0,0,0,0,2227
54.0,0,0,0,0,2227
55.0,0,0,0,0,2227
56.0,0,0,0,0,2227
57.0,0,0,0,0,2227
58.0,0,0,0,0,2227
59.0,0,0,0,0,2227
60.0,0,0,0,0,2227
61.0,0,0,0,0,2227
62.0,0,0,0,0,2227
63.0,0,0,0,0,2227
64.0,0,0,0,0,2227
65.0,0,0,0,0,2227
66.0,0,0,0,0,2227
67.0,0,0,0,0,2227
68.0,0,0,0,0,2227
69.0,0,0,0,0,2227
70.0,0,0,0,0,2227
71.0,0,0,0,0,2227
72.0,0,0,0,0,2227
73.0,0,0,0,0,2227
74.0,0,0,0,0,2227
75.0,0,0,0,0,2227
76.0,0,0,0,0,2227
77.0,0,0,0,0,2227
78.0,0,0,0,0,2227
79.0,0,0,0,0,2227
80.0,0,0,0,0,2227
81.0,0,0,0,0,2227
82.0,0,0,0,0,2227
83.0,0,0,0,0,2227
84.0,0,0,0,0,2227
85.0,0,0,0,0,2227
86.0,0,0,0,0,2227
87.0,0,0,0,0,2227
88.0,0,0,0,0,2227
89.0,0,0,0,0,2227
90.0,0,0,0,0,2227
91.0,0,0,0,0,2227
92.0,0,0,0,0,2227
93.0,0,0,0,0,2227
94.0,0,0,0,0,2227
95.0,0,0,0,0,2227
96.0,0,0,0,0,2227
97.0,0,0,0,0,2227
98.0,0,0,0,0,2227
99.0,0,0,0,0,2227
100.0,0,0,0,0,2227
