time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4,1,9999,1,0,0
5,1,9999,1,0,0
6.0,2,9998,2,0,0
7.0,2,9998,2,0,0
8.0,3,9997,3,0,0
9.0,4,9996,4,0,0
10.0,5,9994,5,0,0
11.0,6,9993,6,0,0
12.0,7,9992,7,0,0
13.0,11,9988,11,0,0
14.0,15,9984,15,0,0
15.0,19,9980,19,1,0
16.0,22,9976,22,4,0
17.0,26,9972,26,5,0
18.0,35,9962,35,8,0
19.0,40,9956,40,11,0
20.0,57,9937,57,16,0
21.0,78,9915,78,23,0
22.0,100,9892,100,29,0
23.0,127,9861,127,36,0
24.0,162,9822,162,45,0
25.0,222,9759,222,59,0
26.0,287,9693,287,73,0
27.0,382,9595,382,96,0
28.0,488,9482,488,114,0
29.0,623,9343,623,139,1
30.0,814,9135,814,179,4
31.0,1068,8865,1068,227,5
32.0,1360,8553,1360,298,8
33.0,1707,8179,1707,364,11
34.0,2172,7679,2172,448,16
35.0,2654,7141,2654,545,23
36.0,3208,6529,3208,675,29
37.0,3751,5904,3751,814,36
38.0,4296,5255,4296,948,45
39.0,4840,4584,4840,1080,59
40.0,5326,3919,5326,1222,73
41.0,5652,3349,5652,1323,96
42.0,5953,2792,5953,1432,114
43.0,6092,2322,6092,1511,140
44.0,6018,1942,6018,1538,183
45.0,5872,1605,5872,1562,232
46.0,5560,1367,5560,1547,306
47.0,5211,1168,5211,1520,375
48.0,4791,993,4791,1461,464
49.0,4301,854,4301,1391,568
50.0,3754,756,3754,1276,704
51.0,3242,676,3242,1142,850
52.0,2716,629,2716,1010,993
53.0,2257,577,2257,877,1139
54.0,1819,549,1819,726,1295
55.0,1463,517,1463,610,1419
56.0,1180,494,1180,487,1546
57.0,932,480,932,383,1651
58.0,728,469,728,317,1721
59.0,556,463,556,245,1794
60.0,428,455,428,187,1853
61.0,320,453,320,146,1895
62.0,259,448,259,117,1925
63.0,187,447,187,84,1959
64.0,144,446,144,63,1980
65.0,110,444,110,51,1992
66.0,83,441,83,40,2003
67.0,59,439,59,28,2016
68.0,47,439,47,23,2021
69.0,36,437,36,16,2029
70.0,26,436,26,12,2033
71.0,25,435,25,11,2034
72.0,18,434,18,7,2038
73.0,17,434,17,6,2039
74.0,15,434,15,5,2040
75.0,13,433,13,4,2041
76.0,9,433,9,3,2042
77.0,7,433,7,2,2043
78.0,7,433,7,2,2043
79.0,6,433,6,2,2043
80.0,5,433,5,2,2043
81.0,3,433,3,1,2044
82.0,2,433,2,1,2044
83.0,2,432,2,0,2045
84.0,2,432,2,0,2045
85.0,1,432,1,0,2045
86.0,1,432,1,0,2045
87.0,1,432,1,0,2045
88.0,1,432,1,0,2045
89.0,1,432,1,0,2045
90.0,1,432,1,0,2045
91.0,1,432,1,0,2045
92.0,1,432,1,0,2045
93.0,0,432,0,0,2045
94.0,0,432,0,0,2045
95.0,0,432,0,0,2045
96.0,0,432,0,0,2045
97.0,0,432,0,0,2045
98.0,0,432,0,0,2045
99.0,0,432,0,0,2045
100.0,0,432,0,0,2045
