time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,9998,2,1,0
2.0,2,9998,2,1,0
3.0,3,9997,3,2,0
4.0,6,9994,6,2,0
5.0,9,9991,9,2,0
6.0,13,9987,13,3,0
7.0,19,9981,19,3,0
8.0,34,9966,34,6,0
9.0,58,9942,58,8,0
10.0,91,9909,91,12,0
11.0,148,9851,148,25,0
12.0,230,9769,230,47,0
13.0,358,9641,358,81,0
14.0,565,9430,565,127,1
15.0,858,9134,858,186,1
16.0,1329,8660,1329,284,1
17.0,2017,7965,2017,438,2
18.0,2941,7029,2941,633,2
19.0,4022,5926,4022,874,2
20.0,5256,4662,5256,1129,3
21.0,6366,3507,6366,1383,3
22.0,7277,2533,7277,1586,6
23.0,8007,1707,8007,1767,8
24.0,8416,1130,8416,1889,12
25.0,8544,752,8544,1962,25
26.0,8403,495,8403,2000,47
27.0,7986,338,7986,1996,81
28.0,7298,238,7298,1968,128
29.0,6447,168,6447,1928,187
30.0,5396,113,5396,1843,285
31.0,4371,82,4371,1696,440
32.0,3420,70,3420,1506,635
33.0,2545,61,2545,1268,876
34.0,1844,55,1844,1013,1132
35.0,1304,49,1304,760,1386
36.0,904,46,904,554,1592
37.0,596,44,596,371,1775
38.0,390,43,390,245,1901
39.0,253,43,253,159,1987
40.0,153,41,153,100,2047
41.0,100,41,100,70,2077
42.0,74,41,74,51,2096
43.0,49,41,49,32,2115
44.0,31,41,31,19,2128
45.0,18,41,18,11,2136
46.0,10,41,10,6,2141
47.0,5,41,5,3,2144
48.0,4,40,4,2,2145
49.0,3,40,3,1,2146
50.0,2,40,2,1,2146
51.0,2,40,2,1,2146
52.0,2,40,2,1,2146
53.0,3,39,3,1,2146
54.0,2,39,2,0,2147
55.0,2,39,2,0,2147
56.0,2,39,2,0,2147
57.0,2,39,2,0,2147
58.0,1,39,1,0,2147
59.0,1,39,1,0,2147
60.0,1,39,1,0,2147
61.0,1,39,1,0,2147
62.0,1,39,1,0,2147
63.0,0,39,0,0,2147
64.0,0,39,0,0,2147
65.0,0,39,0,0,2147
66.0,0,39,0,0,2147
67.0,0,39,0,0,2147
68.0,0,39,0,0,2147
69.0,0,39,0,0,2147
70.0,0,39,0,0,2147
71.0,0,39,0,0,2147
72.0,0,39,0,0,2147
73.0,0,39,0,0,2147
74.0,0,39,0,0,2147
75.0,0,39,0,0,2147
76.0,0,39,0,0,2147
77.0,0,39,0,0,2147
78.0,0,39,0,0,2147
79.0,0,39,0,0,2147
80.0,0,39,0,0,2147
81.0,0,39,0,0,2147
82.0,0,39,0,0,2147
83.0,0,39,0,0,2147
84.0,0,39,0,0,2147
85.0,0,39,0,0,2147
86.0,0,39,0,0,2147
87.0,0,39,0,0,2147
88.0,0,39,0,0,2147
89.0,0,39,0,0,2147
90.0,0,39,0,0,2147
91.0,0,39,0,0,2147
92.0,0,39,0,0,2147
93.0,0,39,0,0,2147
94.0,0,39,0,0,2147
95.0,0,39,0,0,2147
96.0,0,39,0,0,2147
97.0,0,39,0,0,2147
98.0,0,39,0,0,2147
99.0,0,39,0,0,2147
100.0,0,39,0,0,2147
