time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2.0,5,9995,5,1,0
3.0,5,9995,5,1,0
4.0,9,9991,9,4,0
5.0,14,9986,14,7,0
6.0,24,9976,24,10,0
7.0,39,9961,39,13,0
8.0,67,9933,67,21,0
9.0,113,9887,113,28,0
10.0,178,9821,178,45,0
11.0,290,9709,290,71,0
12.0,469,9527,469,110,0
13.0,777,9219,777,183,0
14.0,1199,8796,1199,279,0
15.0,1796,8197,1796,419,0
16.0,2649,7336,2649,599,1
17.0,3766,6207,3766,841,1
18.0,4891,5059,4891,1100,4
19.0,6058,3850,6058,1335,7
20.0,7123,2733,7123,1566,10
21.0,7893,1874,7893,1740,13
22.0,8373,1243,8373,1876,21
23.0,8563,811,8563,1956,28
24.0,8484,546,8484,2000,45
25.0,8180,365,8180,2011,71
26.0,7573,253,7573,2005,110
27.0,6691,175,6691,1952,183
28.0,5754,130,5754,1862,279
29.0,4683,90,4683,1732,419
30.0,3637,72,3637,1554,600
31.0,2718,67,2718,1314,842
32.0,1974,62,1974,1053,1104
33.0,1396,57,1396,817,1342
34.0,961,54,961,584,1576
35.0,641,53,641,407,1753
36.0,420,51,420,264,1897
37.0,275,51,275,177,1984
38.0,176,50,176,116,2045
39.0,110,49,110,79,2082
40.0,62,49,62,46,2115
41.0,39,49,39,26,2135
42.0,29,49,29,20,2141
43.0,17,48,17,10,2151
44.0,12,48,12,7,2154
45.0,9,48,9,5,2156
46.0,7,48,7,4,2157
47.0,6,47,6,2,2159
48.0,4,47,4,1,2160
49.0,3,47,3,1,2160
50.0,2,47,2,0,2161
51.0,3,46,3,0,2161
52.0,3,46,3,0,2161
53.0,2,46,2,0,2161
54.0,2,46,2,0,2161
55.0,2,46,2,0,2161
56.0,2,46,2,0,2161
57.0,1,46,1,0,2161
58.0,1,46,1,0,2161
59.0,1,46,1,0,2161
60.0,1,46,1,0,2161
61.0,0,46,0,0,2161
62.0,0,46,0,0,2161
63.0,0,46,0,0,2161
64.0,0,46,0,0,2161
65.0,0,46,0,0,2161
66.0,0,46,0,0,2161
67.0,0,46,0,0,2161
68.0,0,46,0,0,2161
69.0,0,46,0,0,2161
70.0,0,46,0,0,2161
71.0,0,46,0,0,2161
72.0,0,46,0,0,2161
73.0,0,46,0,0,2161
74.0,0,46,0,0,2161
75.0,0,46,0,0,2161
76.0,0,46,0,0,2161
77.0,0,46,0,0,2161
78.0,0,46,0,0,2161
79.0,0,46,0,0,2161
80.0,0,46,0,0,2161
81.0,0,46,0,0,2161
82.0,0,46,0,0,2161
83.0,0,46,0,0,2161
84.0,0,46,0,0,2161
85.0,0,46,0,0,2161
86.0,0,46,0,0,2161
87.0,0,46,0,0,2161
88.0,0,46,0,0,2161
89.0,0,46,0,0,2161
90.0,0,46,0,0,2161
91.0,0,46,0,0,2161
92.0,0,46,0,0,2161
93.0,0,46,0,0,2161
94.0,0,46,0,0,2161
95.0,0,46,0,0,2161
96.0,0,46,0,0,2161
97.0,0,46,0,0,2161
98.0,0,46,0,0,2161
99.0,0,46,0,0,2161
100.0,0,46,0,0,2161
