time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,4,9996,4,1,0
2.0,10,9990,10,2,0
3.0,26,9974,26,7,0
4.0,46,9954,46,11,0
5.0,70,9930,70,18,0
6.0,120,9880,120,26,0
7.0,198,9802,198,39,0
8.0,315,9685,315,71,0
9.0,533,9467,533,130,0
10.0,859,9140,859,201,0
11.0,1339,8658,1339,324,0
12.0,2057,7935,2057,471,0
13.0,2856,7125,2856,659,0
14.0,3702,6263,3702,842,0
15.0,4541,5406,4541,1036,1
16.0,5251,4653,5251,1213,2
17.0,5799,4035,5799,1355,7
18.0,6210,3535,6210,1465,11
19.0,6432,3147,6432,1544,18
20.0,6487,2828,6487,1621,26
21.0,6320,2623,6320,1652,39
22.0,5871,2464,5871,1664,71
23.0,5299,2355,5299,1624,130
24.0,4617,2287,4617,1567,201
25.0,3879,2240,3879,1456,324
26.0,3201,2196,3201,1323,471
27.0,2571,2167,2571,1143,659
28.0,2018,2151,2018,962,842
29.0,1533,2139,1533,771,1037
30.0,1133,2127,1133,593,1215
31.0,835,2117,835,448,1362
32.0,614,2109,614,334,1476
33.0,440,2107,440,248,1562
34.0,301,2107,301,163,1647
35.0,223,2106,223,119,1691
36.0,149,2106,149,75,1735
37.0,109,2106,109,56,1754
38.0,81,2106,81,42,1768
39.0,61,2106,61,30,1780
40.0,35,2106,35,16,1794
41.0,19,2106,19,8,1802
42.0,9,2106,9,6,1804
43.0,3,2106,3,2,1808
44.0,3,2106,3,2,1808
45.0,0,2106,0,0,1810
46.0,0,2106,0,0,1810
47.0,0,2106,0,0,1810
48.0,0,2106,0,0,1810
49.0,0,2106,0,0,1810
50.0,0,2106,0,0,1810
51.0,0,2106,0,0,1810
52.0,0,2106,0,0,1810
53.0,0,2106,0,0,1810
54.0,0,2106,0,0,1810
55.0,0,2106,0,0,1810
56.0,0,2106,0,0,1810
57.0,0,2106,0,0,1810
58.0,0,2106,0,0,1810
59.0,0,2106,0,0,1810
60.0,0,2106,0,0,1810
61.0,0,2106,0,0,1810
62.0,0,2106,0,0,1810
63.0,0,2106,0,0,1810
64.0,0,2106,0,0,1810
65.0,0,2106,0,0,1810
66.0,0,2106,0,0,1810
67.0,0,2106,0,0,1810
68.0,0,2106,0,0,1810
69.0,0,2106,0,0,1810
70.0,0,2106,0,0,1810
71.0,0,2106,0,0,1810
72.0,0,2106,0,0,1810
73.0,0,2106,0,0,1810
74.0,0,2106,0,0,1810
75.0,0,2106,0,0,1810
76.0,0,2106,0,0,1810
77.0,0,2106,0,0,1810
78.0,0,2106,0,0,1810
79.0,0,2106,0,0,1810
80.0,0,2106,0,0,1810
81.0,0,2106,0,0,1810
82.0,0,2106,0,0,1810
83.0,0,2106,0,0,1810
84.0,0,2106,0,0,1810
85.0,0,2106,0,0,1810
86.0,0,2106,0,0,1810
87.0,0,2106,0,0,1810
88.0,0,2106,0,0,1810
89.0,0,2106,0,0,1810
90.0,0,2106,0,0,1810
91.0,0,2106,0,0,1810
92.0,0,2106,0,0,1810
93.0,0,2106,0,0,1810
94.0,0,2106,0,0,1810
95.0,0,2106,0,0,1810
96.0,0,2106,0,0,1810
97.0,0,2106,0,0,1810
98.0,0,2106,0,0,1810
99.0,0,2106,0,0,1810
100.0,0,2106,0,0,1810
