time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,1,0
2.0,2,9998,2,2,0
3.0,2,9998,2,2,0
4.0,3,9997,3,3,0
5.0,4,9996,4,3,0
6.0,8,9992,8,6,0
7.0,10,9990,10,6,0
8.0,19,9981,19,10,0
9.0,38,9962,38,16,0
10.0,55,9945,55,22,0
11.0,75,9925,75,27,0
12.0,124,9876,124,41,0
13.0,210,9790,210,55,0
14.0,312,9687,312,74,1
15.0,444,9554,444,98,1
16.0,649,9347,649,135,2
17.0,970,9024,970,199,2
18.0,1380,8608,1380,305,3
19.0,1926,8049,1926,426,3
20.0,2632,7329,2632,558,6
21.0,3504,6442,3504,758,6
22.0,4534,5373,4534,1007,10
23.0,5599,4230,5599,1232,16
24.0,6548,3192,6548,1440,22
25.0,7352,2274,7352,1653,27
26.0,7882,1561,7882,1808,41
27.0,8104,1066,8104,1911,55
28.0,8160,681,8160,1969,75
29.0,7943,436,7943,1999,99
30.0,7457,299,7457,1986,137
31.0,6797,208,6797,1944,201
32.0,5933,149,5933,1847,308
33.0,4941,108,4941,1734,429
34.0,4010,80,4010,1601,564
35.0,3127,63,3127,1406,764
36.0,2339,54,2339,1157,1017
37.0,1735,49,1735,927,1248
38.0,1222,41,1222,714,1462
39.0,818,36,818,496,1680
40.0,539,34,539,328,1849
41.0,354,33,354,211,1966
42.0,228,32,228,133,2044
43.0,141,32,141,79,2098
44.0,90,32,90,54,2123
45.0,56,32,56,32,2145
46.0,41,32,41,22,2155
47.0,29,32,29,14,2163
48.0,20,32,20,12,2165
49.0,11,31,11,7,2170
50.0,6,31,6,3,2174
51.0,4,31,4,2,2175
52.0,2,31,2,1,2176
53.0,2,31,2,1,2176
54.0,1,31,1,0,2177
55.0,1,31,1,0,2177
56.0,1,31,1,0,2177
57.0,1,31,1,0,2177
58.0,1,31,1,0,2177
59.0,0,31,0,0,2177
60.0,0,31,0,0,2177
61.0,0,31,0,0,2177
62.0,0,31,0,0,2177
63.0,0,31,0,0,2177
64.0,0,31,0,0,2177
65.0,0,31,0,0,2177
66.0,0,31,0,0,2177
67.0,0,31,0,0,2177
68.0,0,31,0,0,2177
69.0,0,31,0,0,2177
70.0,0,31,0,0,2177
71.0,0,31,0,0,2177
72.0,0,31,0,0,2177
73.0,0,31,0,0,2177
74.0,0,31,0,0,2177
75.0,0,31,0,0,2177
76.0,0,31,0,0,2177
77.0,0,31,0,0,2177
78.0,0,31,0,0,2177
79.0,0,31,0,0,2177
80.0,0,31,0,0,2177
81.0,0,31,0,0,2177
82.0,0,31,0,0,2177
83.0,0,31,0,0,2177
84.0,0,31,0,0,2177
85.0,0,31,0,0,2177
86.0,0,31,0,0,2177
87.0,0,31,0,0,2177
88.0,0,31,0,0,2177
89.0,0,31,0,0,2177
90.0,0,31,0,0,2177
91.0,0,31,0,0,2177
92.0,0,31,0,0,2177
93.0,0,31,0,0,2177
94.0,0,31,0,0,2177
95.0,0,31,0,0,2177
96.0,0,31,0,0,2177
97.0,0,31,0,0,2177
98.0,0,31,0,0,2177
99.0,0,31,0,0,2177
100.0,0,31,0,0,2177
