time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,1998,2,2,0
2.0,3,1997,3,2,0
3.0,4,1996,4,2,0
4.0,5,1995,5,2,0
5.0,8,1992,8,3,0
6.0,17,1983,17,4,0
7.0,24,1976,24,4,0
8.0,43,1957,43,9,0
9.0,81,1919,81,16,0
10.0,123,1877,123,23,0
11.0,198,1802,198,38,0
12.0,292,1707,292,63,0
13.0,420,1578,420,86,0
14.0,580,1416,580,115,1
15.0,719,1274,719,148,2
16.0,854,1131,854,174,2
17.0,997,981,997,209,2
18.0,1124,840,1124,244,2
19.0,1200,732,1200,271,3
20.0,1283,613,1283,297,4
21.0,1322,514,1322,321,4
22.0,1328,433,1328,339,9
23.0,1272,376,1272,343,16
24.0,1182,327,1182,343,23
25.0,1094,292,1094,333,38
26.0,980,264,980,317,63
27.0,863,243,863,296,86
28.0,745,225,745,268,116
29.0,642,214,642,236,150
30.0,539,199,539,211,176
31.0,440,188,440,177,211
32.0,357,178,357,144,246
33.0,285,176,285,118,274
34.0,220,172,220,92,301
35.0,169,169,169,69,325
36.0,134,162,134,49,348
37.0,105,161,105,38,359
38.0,83,160,83,31,366
39.0,69,160,69,26,371
40.0,46,160,46,17,380
41.0,36,158,36,15,382
42.0,26,158,26,13,384
43.0,24,158,24,11,386
44.0,20,158,20,10,387
45.0,17,158,17,9,388
46.0,11,158,11,7,390
47.0,8,158,8,5,392
48.0,6,158,6,4,393
49.0,5,158,5,3,394
50.0,2,158,2,0,397
51.0,0,158,0,0,397
52.0,0,158,0,0,397
53.0,0,158,0,0,397
54.0,0,158,0,0,397
55.0,0,158,0,0,397
56.0,0,158,0,0,397
57.0,0,158,0,0,397
58.0,0,158,0,0,397
59.0,0,158,0,0,397
60.0,0,158,0,0,397
61.0,0,158,0,0,397
62.0,0,158,0,0,397
63.0,0,158,0,0,397
64.0,0,158,0,0,397
65.0,0,158,0,0,397
66.0,0,158,0,0,397
67.0,0,158,0,0,397
68.0,0,158,0,0,397
69.0,0,158,0,0,397
70.0,0,158,0,0,397
71.0,0,158,0,0,397
72.0,0,158,0,0,397
73.0,0,158,0,0,397
74.0,0,158,0,0,397
75.0,0,158,0,0,397
76.0,0,158,0,0,397
77.0,0,158,0,0,397
78.0,0,158,0,0,397
79.0,0,158,0,0,397
80.0,0,158,0,0,397
81.0,0,158,0,0,397
82.0,0,158,0,0,397
83.0,0,158,0,0,397
84.0,0,158,0,0,397
85.0,0,158,0,0,397
86.0,0,158,0,0,397
87.0,0,158,0,0,397
88.0,0,158,0,0,397
89.0,0,158,0,0,397
90.0,0,158,0,0,397
91.0,0,158,0,0,397
92.0,0,158,0,0,397
93.0,0,158,0,0,397
94.0,0,158,0,0,397
95.0,0,158,0,0,397
96.0,0,158,0,0,397
97.0,0,158,0,0,397
98.0,0,158,0,0,397
99.0,0,158,0,0,397
100.0,0,158,0,0,397
