time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,1999,1,1,0
2.0,7,1993,7,2,0
3.0,46,1954,46,12,0
4.0,136,1864,136,37,0
5.0,376,1624,376,92,0
6.0,732,1268,732,172,0
7.0,1082,918,1082,242,0
8.0,1357,643,1357,298,0
9.0,1571,429,1571,361,0
10.0,1717,283,1717,398,0
11.0,1817,183,1817,427,0
12.0,1874,121,1874,446,0
13.0,1872,94,1872,449,0
14.0,1846,54,1846,454,1
15.0,1682,33,1682,458,1
16.0,1411,27,1411,459,2
17.0,1126,22,1126,450,12
18.0,884,20,884,426,37
19.0,680,18,680,371,92
20.0,491,18,491,291,172
21.0,352,16,352,222,242
22.0,254,15,254,167,298
23.0,169,13,169,104,361
24.0,98,13,98,67,398
25.0,52,13,52,38,427
26.0,30,12,30,19,446
27.0,23,12,23,16,449
28.0,16,12,16,10,455
29.0,10,12,10,6,459
30.0,8,12,8,4,461
31.0,6,12,6,3,462
32.0,5,12,5,2,463
33.0,3,12,3,2,463
34.0,3,12,3,2,463
35.0,2,12,2,1,464
36.0,0,12,0,0,465
37.0,0,12,0,0,465
38.0,0,12,0,0,465
39.0,0,12,0,0,465
40.0,0,12,0,0,465
41.0,0,12,0,0,465
42.0,0,12,0,0,465
43.0,0,12,0,0,465
44.0,0,12,0,0,465
45.0,0,12,0,0,465
46.0,0,12,0,0,465
47.0,0,12,0,0,465
48.0,0,12,0,0,465
49.0,0,12,0,0,465
50.0,0,12,0,0,465
51.0,0,12,0,0,465
52.0,0,12,0,0,465
53.0,0,12,0,0,465
54.0,0,12,0,0,465
55.0,0,12,0,0,465
56.0,0,12,0,0,465
57.0,0,12,0,0,465
58.0,0,12,0,0,465
59.0,0,12,0,0,465
60.0,0,12,0,0,465
61.0,0,12,0,0,465
62.0,0,12,0,0,465
63.0,0,12,0,0,465
64.0,0,12,0,0,465
65.0,0,12,0,0,465
66.0,0,12,0,0,465
67.0,0,12,0,0,465
68.0,0,12,0,0,465
69.0,0,12,0,0,465
70.0,0,12,0,0,465
71.0,0,12,0,0,465
72.0,0,12,0,0,465
73.0,0,12,0,0,465
74.0,0,12,0,0,465
75.0,0,12,0,0,465
76.0,0,12,0,0,465
77.0,0,12,0,0,465
78.0,0,12,0,0,465
79.0,0,12,0,0,465
80.0,0,12,0,0,465
81.0,0,12,0,0,465
82.0,0,12,0,0,465
83.0,0,12,0,0,465
84.0,0,12,0,0,465
85.0,0,12,0,0,465
86.0,0,12,0,0,465
87.0,0,12,0,0,465
88.0,0,12,0,0,465
89.0,0,12,0,0,465
90.0,0,12,0,0,465
91.0,0,12,0,0,465
92.0,0,12,0,0,465
93.0,0,12,0,0,465
94.0,0,12,0,0,465
95.0,0,12,0,0,465
96.0,0,12,0,0,465
97.0,0,12,0,0,465
98.0,0,12,0,0,465
99.0,0,12,0,0,465
100.0,0,12,0,0,465
