time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,3,97,3,2,0
2.0,6,94,6,2,0
3.0,10,90,10,2,0
4.0,14,86,14,3,0
5.0,20,80,20,5,0
6.0,26,74,26,6,0
7.0,39,61,39,8,0
8.0,41,59,41,9,0
9.0,46,54,46,10,0
10.0,50,49,50,14,0
11.0,55,42,55,13,2
12.0,58,36,58,15,2
13.0,61,29,61,16,2
14.0,57,29,57,15,3
15.0,57,23,57,13,5
16.0,51,23,51,12,6
17.0,38,23,38,10,8
18.0,38,21,38,9,9
19.0,35,19,35,8,10
20.0,31,18,31,4,14
21.0,26,16,26,4,15
22.0,20,16,20,2,17
23.0,13,16,13,1,18
24.0,13,16,13,1,18
25.0,7,16,7,1,18
26.0,7,16,7,1,18
27.0,7,16,7,1,18
28.0,5,16,5,1,18
29.0,3,16,3,1,18
30.0,2,16,2,1,18
31.0,0,16,0,0,19
32.0,0,16,0,0,19
33.0,0,16,0,0,19
34.0,0,16,0,0,19
35.0,0,16,0,0,19
36.0,0,16,0,0,19
37.0,0,16,0,0,19
38.0,0,16,0,0,19
39.0,0,16,0,0,19
40.0,0,16,0,0,19
41.0,0,16,0,0,19
42.0,0,16,0,0,19
43.0,0,16,0,0,19
44.0,0,16,0,0,19
45.0,0,16,0,0,19
46.0,0,16,0,0,19
47.0,0,16,0,0,19
48.0,0,16,0,0,19
49.0,0,16,0,0,19
50.0,0,16,0,0,19
51.0,0,16,0,0,19
52.0,0,16,0,0,19
53.0,0,16,0,0,19
54.0,0,16,0,0,19
55.0,0,16,0,0,19
56.0,0,16,0,0,19
57.0,0,16,0,0,19
58.0,0,16,0,0,19
59.0,0,16,0,0,19
60.0,0,16,0,0,19
61.0,0,16,0,0,19
62.0,0,16,0,0,19
63.0,0,16,0,0,19
64.0,0,16,0,0,19
65.0,0,16,0,0,19
66.0,0,16,0,0,19
67.0,0,16,0,0,19
68.0,0,16,0,0,19
69.0,0,16,0,0,19
70.0,0,16,0,0,19
71.0,0,16,0,0,19
72.0,0,16,0,0,19
73.0,0,16,0,0,19
74.0,0,16,0,0,19
75.0,0,16,0,0,19
76.0,0,16,0,0,19
77.0,0,16,0,0,19
78.0,0,16,0,0,19
79.0,0,16,0,0,19
80.0,0,16,0,0,19
81.0,0,16,0,0,19
82.0,0,16,0,0,19
83.0,0,16,0,0,19
84.0,0,16,0,0,19
85.0,0,16,0,0,19
86.0,0,16,0,0,19
87.0,0,16,0,0,19
88.0,0,16,0,0,19
89.0,0,16,0,0,19
90.0,0,16,0,0,19
91.0,0,16,0,0,19
92.0,0,16,0,0,19
93.0,0,16,0,0,19
94.0,0,16,0,0,19
95.0,0,16,0,0,19
96.0,0,16,0,0,19
97.0,0,16,0,0,19
98.0,0,16,0,0,19
99.0,0,16,0,0,19
100.0,0,16,0,0,19
