time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,99,1,0,0
2,1,99,1,0,0
3,1,99,1,0,0
4,1,99,1,0,0
5,1,99,1,0,0
6.0,4,96,4,1,0
7.0,6,94,6,2,0
8.0,10,90,10,4,0
9.0,13,87,13,4,0
10.0,15,84,15,6,0
11.0,22,77,22,8,0
12.0,30,69,30,9,0
13.0,34,65,34,10,0
14.0,38,61,38,10,0
15.0,40,59,40,11,0
16.0,45,51,45,13,1
17.0,51,43,51,13,2
18.0,50,40,50,13,4
19.0,52,35,52,13,4
20.0,52,32,52,11,6
21.0,47,30,47,9,8
22.0,43,26,43,10,9
23.0,41,24,41,9,10
24.0,37,24,37,9,10
25.0,39,20,39,9,11
26.0,32,19,32,6,14
27.0,24,19,24,5,15
28.0,22,18,22,3,17
29.0,17,18,17,3,17
30.0,14,18,14,3,17
31.0,12,18,12,3,17
32.0,8,18,8,1,19
33.0,6,18,6,1,19
34.0,7,17,7,1,19
35.0,4,16,4,0,20
36.0,3,16,3,0,20
37.0,3,16,3,0,20
38.0,2,16,2,0,20
39.0,3,15,3,0,20
40.0,3,15,3,0,20
41.0,3,15,3,0,20
42.0,3,15,3,0,20
43.0,3,15,3,0,20
44.0,2,15,2,0,20
45.0,1,15,1,0,20
46.0,1,15,1,0,20
47.0,1,15,1,0,20
48.0,1,15,1,0,20
49.0,0,15,0,0,20
50.0,0,15,0,0,20
51.0,0,15,0,0,20
52.0,0,15,0,0,20
53.0,0,15,0,0,20
54.0,0,15,0,0,20
55.0,0,15,0,0,20
56.0,0,15,0,0,20
57.0,0,15,0,0,20
58.0,0,15,0,0,20
59.0,0,15,0,0,20
60.0,0,15,0,0,20
61.0,0,15,0,0,20
62.0,0,15,0,0,20
63.0,0,15,0,0,20
64.0,0,15,0,0,20
65.0,0,15,0,0,20
66.0,0,15,0,0,20
67.0,0,15,0,0,20
68.0,0,15,0,0,20
69.0,0,15,0,0,20
70.0,0,15,0,0,20
71.0,0,15,0,0,20
72.0,0,15,0,0,20
73.0,0,15,0,0,20
74.0,0,15,0,0,20
75.0,0,15,0,0,20
76.0,0,15,0,0,20
77.0,0,15,0,0,20
78.0,0,15,0,0,20
79.0,0,15,0,0,20
80.0,0,15,0,0,20
81.0,0,15,0,0,20
82.0,0,15,0,0,20
83.0,0,15,0,0,20
84.0,0,15,0,0,20
85.0,0,15,0,0,20
86.0,0,15,0,0,20
87.0,0,15,0,0,20
88.0,0,15,0,0,20
89.0,0,15,0,0,20
90.0,0,15,0,0,20
91.0,0,15,0,0,20
92.0,0,15,0,0,20
93.0,0,15,0,0,20
94.0,0,15,0,0,20
95.0,0,15,0,0,20
96.0,0,15,0,0,20
97.0,0,15,0,0,20
98.0,0,15,0,0,20
99.0,0,15,0,0,20
100.0,0,15,0,0,20
