time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,99,1,0,0
2.0,2,98,2,0,0
3.0,4,96,4,0,0
4.0,6,94,6,1,0
5.0,6,94,6,1,0
6.0,9,91,9,2,0
7.0,10,90,10,2,0
8.0,12,88,12,2,0
9.0,14,86,14,3,0
10.0,17,82,17,4,0
11.0,20,79,20,5,0
12.0,22,76,22,6,0
13.0,34,62,34,12,0
14.0,40,54,40,11,1
15.0,46,48,46,16,1
16.0,50,41,50,15,2
17.0,54,36,54,16,2
18.0,55,33,55,18,2
19.0,60,26,60,21,3
20.0,63,19,63,22,4
21.0,62,17,62,22,5
22.0,60,16,60,22,6
23.0,48,14,48,16,12
24.0,41,13,41,16,12
25.0,35,13,35,11,17
26.0,29,12,29,12,17
27.0,25,11,25,12,18
28.0,22,11,22,10,20
29.0,16,10,16,7,24
30.0,9,10,9,5,26
31.0,7,10,7,4,27
32.0,6,10,6,3,28
33.0,4,10,4,3,28
34.0,3,10,3,3,28
35.0,3,10,3,3,28
36.0,2,10,2,2,29
37.0,1,10,1,1,30
38.0,1,10,1,1,30
39.0,0,10,0,0,31
40.0,0,10,0,0,31
41.0,0,10,0,0,31
42.0,0,10,0,0,31
43.0,0,10,0,0,31
44.0,0,10,0,0,31
45.0,0,10,0,0,31
46.0,0,10,0,0,31
47.0,0,10,0,0,31
48.0,0,10,0,0,31
49.0,0,10,0,0,31
50.0,0,10,0,0,31
51.0,0,10,0,0,31
52.0,0,10,0,0,31
53.0,0,10,0,0,31
54.0,0,10,0,0,31
55.0,0,10,0,0,31
56.0,0,10,0,0,31
57.0,0,10,0,0,31
58.0,0,10,0,0,31
59.0,0,10,0,0,31
60.0,0,10,0,0,31
61.0,0,10,0,0,31
62.0,0,10,0,0,31
63.0,0,10,0,0,31
64.0,0,10,0,0,31
65.0,0,10,0,0,31
66.0,0,10,0,0,31
67.0,0,10,0,0,31
68.0,0,10,0,0,31
69.0,0,10,0,0,31
70.0,0,10,0,0,31
71.0,0,10,0,0,31
72.0,0,10,0,0,31
73.0,0,10,0,0,31
74.0,0,10,0,0,31
75.0,0,10,0,0,31
76.0,0,10,0,0,31
77.0,0,10,0,0,31
78.0,0,10,0,0,31
79.0,0,10,0,0,31
80.0,0,10,0,0,31
81.0,0,10,0,0,31
82.0,0,10,0,0,31
83.0,0,10,0,0,31
84.0,0,10,0,0,31
85.0,0,10,0,0,31
86.0,0,10,0,0,31
87.0,0,10,0,0,31
88.0,0,10,0,0,31
89.0,0,10,0,0,31
90.0,0,10,0,0,31
91.0,0,10,0,0,31
92.0,0,10,0,0,31
93.0,0,10,0,0,31
94.0,0,10,0,0,31
95.0,0,10,0,0,31
96.0,0,10,0,0,31
97.0,0,10,0,0,31
98.0,0,10,0,0,31
99.0,0,10,0,0,31
100.0,0,10,0,0,31
