time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,98,2,1,0
2.0,5,95,5,2,0
3.0,12,88,12,2,0
4.0,12,88,12,2,0
5.0,13,87,13,2,0
6.0,14,86,14,3,0
7.0,14,86,14,3,0
8.0,15,85,15,3,0
9.0,16,84,16,3,0
10.0,21,78,21,3,1
11.0,26,72,26,4,1
12.0,32,63,32,3,2
13.0,30,58,30,3,2
14.0,34,54,34,3,2
15.0,36,51,36,3,2
16.0,38,48,38,2,3
17.0,46,40,46,4,3
18.0,47,38,47,4,3
19.0,48,36,48,4,3
20.0,47,31,47,5,4
21.0,45,27,45,6,5
22.0,37,26,37,6,5
23.0,32,26,32,6,5
24.0,31,23,31,7,5
25.0,29,22,29,7,5
26.0,28,20,28,7,5
27.0,21,19,21,5,7
28.0,20,18,20,5,7
29.0,20,16,20,6,7
30.0,16,15,16,4,9
31.0,12,15,12,2,11
32.0,14,12,14,2,11
33.0,14,12,14,2,11
34.0,12,11,12,2,12
35.0,11,11,11,2,12
36.0,9,11,9,2,12
37.0,8,11,8,2,12
38.0,8,10,8,2,12
39.0,6,10,6,1,13
40.0,5,10,5,1,13
41.0,5,10,5,1,13
42.0,2,10,2,1,13
43.0,2,10,2,1,13
44.0,1,10,1,0,14
45.0,1,10,1,0,14
46.0,1,10,1,0,14
47.0,1,10,1,0,14
48.0,0,10,0,0,14
49.0,0,10,0,0,14
50.0,0,10,0,0,14
51.0,0,10,0,0,14
52.0,0,10,0,0,14
53.0,0,10,0,0,14
54.0,0,10,0,0,14
55.0,0,10,0,0,14
56.0,0,10,0,0,14
57.0,0,10,0,0,14
58.0,0,10,0,0,14
59.0,0,10,0,0,14
60.0,0,10,0,0,14
61.0,0,10,0,0,14
62.0,0,10,0,0,14
63.0,0,10,0,0,14
64.0,0,10,0,0,14
65.0,0,10,0,0,14
66.0,0,10,0,0,14
67.0,0,10,0,0,14
68.0,0,10,0,0,14
69.0,0,10,0,0,14
70.0,0,10,0,0,14
71.0,0,10,0,0,14
72.0,0,10,0,0,14
73.0,0,10,0,0,14
74.0,0,10,0,0,14
75.0,0,10,0,0,14
76.0,0,10,0,0,14
77.0,0,10,0,0,14
78.0,0,10,0,0,14
79.0,0,10,0,0,14
80.0,0,10,0,0,14
81.0,0,10,0,0,14
82.0,0,10,0,0,14
83.0,0,10,0,0,14
84.0,0,10,0,0,14
85.0,0,10,0,0,14
86.0,0,10,0,0,14
87.0,0,10,0,0,14
88.0,0,10,0,0,14
89.0,0,10,0,0,14
90.0,0,10,0,0,14
91.0,0,10,0,0,14
92.0,0,10,0,0,14
93.0,0,10,0,0,14
94.0,0,10,0,0,14
95.0,0,10,0,0,14
96.0,0,10,0,0,14
97.0,0,10,0,0,14
98.0,0,10,0,0,14
99.0,0,10,0,0,14
100.0,0,10,0,0,14
