time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,99,1,0,0
2,1,99,1,0,0
3,1,99,1,0,0
4.0,3,97,3,0,0
5.0,3,97,3,0,0
6.0,5,95,5,0,0
7.0,5,95,5,0,0
8.0,6,94,6,0,0
9.0,8,92,8,0,0
10.0,10,89,10,1,0
11.0,12,87,12,1,0
12.0,18,81,18,3,0
13.0,20,79,20,3,0
14.0,20,77,20,4,0
15.0,27,70,27,6,0
16.0,29,66,29,7,0
17.0,35,60,35,9,0
18.0,42,52,42,10,0
19.0,46,46,46,12,0
20.0,50,39,50,12,1
21.0,52,35,52,13,1
22.0,50,31,50,11,3
23.0,50,29,50,11,3
24.0,51,26,51,11,4
25.0,48,22,48,10,6
26.0,46,20,46,9,7
27.0,42,18,42,7,9
28.0,40,12,40,8,10
29.0,34,12,34,6,12
30.0,29,10,29,6,13
31.0,26,9,26,5,14
32.0,25,6,25,7,14
33.0,23,6,23,7,14
34.0,21,5,21,6,15
35.0,18,4,18,5,16
36.0,16,4,16,5,16
37.0,14,4,14,5,16
38.0,8,4,8,3,18
39.0,8,4,8,3,18
40.0,6,4,6,2,19
41.0,5,4,5,2,19
42.0,2,4,2,0,21
43.0,2,4,2,0,21
44.0,1,4,1,0,21
45.0,0,4,0,0,21
46.0,0,4,0,0,21
47.0,0,4,0,0,21
48.0,0,4,0,0,21
49.0,0,4,0,0,21
50.0,0,4,0,0,21
51.0,0,4,0,0,21
52.0,0,4,0,0,21
53.0,0,4,0,0,21
54.0,0,4,0,0,21
55.0,0,4,0,0,21
56.0,0,4,0,0,21
57.0,0,4,0,0,21
58.0,0,4,0,0,21
59.0,0,4,0,0,21
60.0,0,4,0,0,21
61.0,0,4,0,0,21
62.0,0,4,0,0,21
63.0,0,4,0,0,21
64.0,0,4,0,0,21
65.0,0,4,0,0,21
66.0,0,4,0,0,21
67.0,0,4,0,0,21
68.0,0,4,0,0,21
69.0,0,4,0,0,21
70.0,0,4,0,0,21
71.0,0,4,0,0,21
72.0,0,4,0,0,21
73.0,0,4,0,0,21
74.0,0,4,0,0,21
75.0,0,4,0,0,21
76.0,0,4,0,0,21
77.0,0,4,0,0,21
78.0,0,4,0,0,21
79.0,0,4,0,0,21
80.0,0,4,0,0,21
81.0,0,4,0,0,21
82.0,0,4,0,0,21
83.0,0,4,0,0,21
84.0,0,4,0,0,21
85.0,0,4,0,0,21
86.0,0,4,0,0,21
87.0,0,4,0,0,21
88.0,0,4,0,0,21
89.0,0,4,0,0,21
90.0,0,4,0,0,21
91.0,0,4,0,0,21
92.0,0,4,0,0,21
93.0,0,4,0,0,21
94.0,0,4,0,0,21
95.0,0,4,0,0,21
96.0,0,4,0,0,21
97.0,0,4,0,0,21
98.0,0,4,0,0,21
99.0,0,4,0,0,21
100.0,0,4,0,0,21
