time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,3,97,3,0,0
2.0,5,95,5,1,0
3.0,5,95,5,1,0
4.0,5,95,5,1,0
5.0,6,94,6,1,0
6.0,8,92,8,1,0
7.0,12,88,12,1,0
8.0,12,88,12,1,0
9.0,17,83,17,2,0
10.0,21,78,21,3,0
11.0,23,74,23,3,0
12.0,26,69,26,2,1
13.0,29,66,29,4,1
14.0,36,59,36,6,1
15.0,44,50,44,9,1
16.0,51,41,51,10,1
17.0,53,35,53,14,1
18.0,61,27,61,15,1
19.0,62,21,62,15,2
20.0,63,15,63,14,3
21.0,60,14,60,14,3
22.0,56,13,56,14,3
23.0,53,13,53,12,5
24.0,50,9,50,10,7
25.0,42,8,42,7,10
26.0,33,8,33,6,11
27.0,28,7,28,2,15
28.0,20,7,20,1,16
29.0,14,7,14,0,17
30.0,8,7,8,0,17
31.0,7,7,7,0,17
32.0,6,7,6,0,17
33.0,6,7,6,0,17
34.0,3,6,3,1,17
35.0,2,6,2,1,17
36.0,2,6,2,1,17
37.0,1,6,1,1,17
38.0,1,6,1,1,17
39.0,1,6,1,1,17
40.0,1,6,1,1,17
41.0,1,6,1,1,17
42.0,1,6,1,1,17
43.0,1,6,1,1,17
44.0,0,6,0,0,18
45.0,0,6,0,0,18
46.0,0,6,0,0,18
47.0,0,6,0,0,18
48.0,0,6,0,0,18
49.0,0,6,0,0,18
50.0,0,6,0,0,18
51.0,0,6,0,0,18
52.0,0,6,0,0,18
53.0,0,6,0,0,18
54.0,0,6,0,0,18
55.0,0,6,0,0,18
56.0,0,6,0,0,18
57.0,0,6,0,0,18
58.0,0,6,0,0,18
59.0,0,6,0,0,18
60.0,0,6,0,0,18
61.0,0,6,0,0,18
62.0,0,6,0,0,18
63.0,0,6,0,0,18
64.0,0,6,0,0,18
65.0,0,6,0,0,18
66.0,0,6,0,0,18
67.0,0,6,0,0,18
68.0,0,6,0,0,18
69.0,0,6,0,0,18
70.0,0,6,0,0,18
71.0,0,6,0,0,18
72.0,0,6,0,0,18
73.0,0,6,0,0,18
74.0,0,6,0,0,18
75.0,0,6,0,0,18
76.0,0,6,0,0,18
77.0,0,6,0,0,18
78.0,0,6,0,0,18
79.0,0,6,0,0,18
80.0,0,6,0,0,18
81.0,0,6,0,0,18
82.0,0,6,0,0,18
83.0,0,6,0,0,18
84.0,0,6,0,0,18
85.0,0,6,0,0,18
86.0,0,6,0,0,18
87.0,0,6,0,0,18
88.0,0,6,0,0,18
89.0,0,6,0,0,18
90.0,0,6,0,0,18
91.0,0,6,0,0,18
92.0,0,6,0,0,18
93.0,0,6,0,0,18
94.0,0,6,0,0,18
95.0,0,6,0,0,18
96.0,0,6,0,0,18
97.0,0,6,0,0,18
98.0,0,6,0,0,18
99.0,0,6,0,0,18
100.0,0,6,0,0,18
