time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,4,196,4,0,0
3.0,6,194,6,1,0
4.0,10,190,10,3,0
5.0,16,184,16,4,0
6.0,28,172,28,7,0
7.0,45,155,45,10,0
8.0,58,142,58,15,0
9.0,81,119,81,19,0
10.0,104,95,104,28,0
11.0,122,77,122,34,0
12.0,137,59,137,37,0
13.0,146,48,146,41,1
14.0,153,37,153,42,3
15.0,154,30,154,41,4
16.0,146,26,146,41,7
17.0,133,22,133,41,10
18.0,124,18,124,36,15
19.0,105,14,105,32,19
20.0,82,13,82,24,28
21.0,64,13,64,18,34
22.0,48,11,48,15,37
23.0,38,10,38,10,42
24.0,27,10,27,7,45
25.0,20,10,20,7,45
26.0,17,9,17,5,48
27.0,14,8,14,2,51
28.0,10,8,10,2,51
29.0,6,8,6,2,51
30.0,5,8,5,1,52
31.0,5,8,5,1,52
32.0,3,8,3,1,52
33.0,2,8,2,1,52
34.0,2,8,2,1,52
35.0,2,8,2,1,52
36.0,1,8,1,0,53
37.0,0,8,0,0,53
38.0,0,8,0,0,53
39.0,0,8,0,0,53
40.0,0,8,0,0,53
41.0,0,8,0,0,53
42.0,0,8,0,0,53
43.0,0,8,0,0,53
44.0,0,8,0,0,53
45.0,0,8,0,0,53
46.0,0,8,0,0,53
47.0,0,8,0,0,53
48.0,0,8,0,0,53
49.0,0,8,0,0,53
50.0,0,8,0,0,53
51.0,0,8,0,0,53
52.0,0,8,0,0,53
53.0,0,8,0,0,53
54.0,0,8,0,0,53
55.0,0,8,0,0,53
56.0,0,8,0,0,53
57.0,0,8,0,0,53
58.0,0,8,0,0,53
59.0,0,8,0,0,53
60.0,0,8,0,0,53
61.0,0,8,0,0,53
62.0,0,8,0,0,53
63.0,0,8,0,0,53
64.0,0,8,0,0,53
65.0,0,8,0,0,53
66.0,0,8,0,0,53
67.0,0,8,0,0,53
68.0,0,8,0,0,53
69.0,0,8,0,0,53
70.0,0,8,0,0,53
71.0,0,8,0,0,53
72.0,0,8,0,0,53
73.0,0,8,0,0,53
74.0,0,8,0,0,53
75.0,0,8,0,0,53
76.0,0,8,0,0,53
77.0,0,8,0,0,53
78.0,0,8,0,0,53
79.0,0,8,0,0,53
80.0,0,8,0,0,53
81.0,0,8,0,0,53
82.0,0,8,0,0,53
83.0,0,8,0,0,53
84.0,0,8,0,0,53
85.0,0,8,0,0,53
86.0,0,8,0,0,53
87.0,0,8,0,0,53
88.0,0,8,0,0,53
89.0,0,8,0,0,53
90.0,0,8,0,0,53
91.0,0,8,0,0,53
92.0,0,8,0,0,53
93.0,0,8,0,0,53
94.0,0,8,0,0,53
95.0,0,8,0,0,53
96.0,0,8,0,0,53
97.0,0,8,0,0,53
98.0,0,8,0,0,53
99.0,0,8,0,0,53
100.0,0,8,0,0,53
