time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2,1,199,1,0,0
3,1,199,1,0,0
4,1,199,1,0,0
5,1,199,1,0,0
6,1,199,1,0,0
7,1,199,1,0,0
8.0,3,197,3,1,0
9.0,14,186,14,6,0
10.0,25,174,25,9,0
11.0,45,154,45,12,0
12.0,70,129,70,16,0
13.0,96,103,96,20,0
14.0,126,73,126,27,0
15.0,143,56,143,30,0
16.0,153,46,153,32,0
17.0,164,35,164,37,0
18.0,169,28,169,36,1
19.0,163,23,163,32,6
20.0,156,18,156,30,9
21.0,142,12,142,28,12
22.0,118,11,118,24,16
23.0,93,10,93,20,20
24.0,64,9,64,13,27
25.0,49,7,49,10,30
26.0,39,7,39,8,32
27.0,29,6,29,3,37
28.0,22,6,22,3,37
29.0,17,6,17,2,38
30.0,12,6,12,1,39
31.0,6,6,6,0,40
32.0,5,6,5,0,40
33.0,4,6,4,0,40
34.0,3,6,3,0,40
35.0,1,6,1,0,40
36.0,1,6,1,0,40
37.0,0,6,0,0,40
38.0,0,6,0,0,40
39.0,0,6,0,0,40
40.0,0,6,0,0,40
41.0,0,6,0,0,40
42.0,0,6,0,0,40
43.0,0,6,0,0,40
44.0,0,6,0,0,40
45.0,0,6,0,0,40
46.0,0,6,0,0,40
47.0,0,6,0,0,40
48.0,0,6,0,0,40
49.0,0,6,0,0,40
50.0,0,6,0,0,40
51.0,0,6,0,0,40
52.0,0,6,0,0,40
53.0,0,6,0,0,40
54.0,0,6,0,0,40
55.0,0,6,0,0,40
56.0,0,6,0,0,40
57.0,0,6,0,0,40
58.0,0,6,0,0,40
59.0,0,6,0,0,40
60.0,0,6,0,0,40
61.0,0,6,0,0,40
62.0,0,6,0,0,40
63.0,0,6,0,0,40
64.0,0,6,0,0,40
65.0,0,6,0,0,40
66.0,0,6,0,0,40
67.0,0,6,0,0,40
68.0,0,6,0,0,40
69.0,0,6,0,0,40
70.0,0,6,0,0,40
71.0,0,6,0,0,40
72.0,0,6,0,0,40
73.0,0,6,0,0,40
74.0,0,6,0,0,40
75.0,0,6,0,0,40
76.0,0,6,0,0,40
77.0,0,6,0,0,40
78.0,0,6,0,0,40
79.0,0,6,0,0,40
80.0,0,6,0,0,40
81.0,0,6,0,0,40
82.0,0,6,0,0,40
83.0,0,6,0,0,40
84.0,0,6,0,0,40
85.0,0,6,0,0,40
86.0,0,6,0,0,40
87.0,0,6,0,0,40
88.0,0,6,0,0,40
89.0,0,6,0,0,40
90.0,0,6,0,0,40
91.0,0,6,0,0,40
92.0,0,6,0,0,40
93.0,0,6,0,0,40
94.0,0,6,0,0,40
95.0,0,6,0,0,40
96.0,0,6,0,0,40
97.0,0,6,0,0,40
98.0,0,6,0,0,40
99.0,0,6,0,0,40
100.0,0,6,0,0,40
