time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,3,197,3,0,0
3.0,4,196,4,0,0
4.0,6,194,6,0,0
5.0,8,192,8,0,0
6.0,8,192,8,0,0
7.0,11,189,11,0,0
8.0,16,184,16,0,0
9.0,28,172,28,4,0
10.0,32,167,32,4,0
11.0,41,158,41,6,0
12.0,65,132,65,12,0
13.0,80,116,80,17,0
14.0,99,95,99,21,0
15.0,117,75,117,25,0
16.0,135,57,135,31,0
17.0,146,43,146,35,0
18.0,152,32,152,37,0
19.0,145,27,145,35,4
20.0,141,26,141,35,4
21.0,141,17,141,34,6
22.0,116,16,116,28,12
23.0,103,13,103,23,17
24.0,82,13,82,19,21
25.0,63,12,63,15,25
26.0,45,12,45,9,31
27.0,31,12,31,5,35
28.0,20,12,20,3,37
29.0,16,11,16,2,39
30.0,15,11,15,2,39
31.0,6,11,6,1,40
32.0,5,11,5,1,40
33.0,3,10,3,2,40
34.0,3,10,3,2,40
35.0,2,10,2,2,40
36.0,2,10,2,2,40
37.0,2,10,2,2,40
38.0,2,10,2,2,40
39.0,1,10,1,1,41
40.0,1,10,1,1,41
41.0,1,10,1,1,41
42.0,1,10,1,1,41
43.0,0,10,0,0,42
44.0,0,10,0,0,42
45.0,0,10,0,0,42
46.0,0,10,0,0,42
47.0,0,10,0,0,42
48.0,0,10,0,0,42
49.0,0,10,0,0,42
50.0,0,10,0,0,42
51.0,0,10,0,0,42
52.0,0,10,0,0,42
53.0,0,10,0,0,42
54.0,0,10,0,0,42
55.0,0,10,0,0,42
56.0,0,10,0,0,42
57.0,0,10,0,0,42
58.0,0,10,0,0,42
59.0,0,10,0,0,42
60.0,0,10,0,0,42
61.0,0,10,0,0,42
62.0,0,10,0,0,42
63.0,0,10,0,0,42
64.0,0,10,0,0,42
65.0,0,10,0,0,42
66.0,0,10,0,0,42
67.0,0,10,0,0,42
68.0,0,10,0,0,42
69.0,0,10,0,0,42
70.0,0,10,0,0,42
71.0,0,10,0,0,42
72.0,0,10,0,0,42
73.0,0,10,0,0,42
74.0,0,10,0,0,42
75.0,0,10,0,0,42
76.0,0,10,0,0,42
77.0,0,10,0,0,42
78.0,0,10,0,0,42
79.0,0,10,0,0,42
80.0,0,10,0,0,42
81.0,0,10,0,0,42
82.0,0,10,0,0,42
83.0,0,10,0,0,42
84.0,0,10,0,0,42
85.0,0,10,0,0,42
86.0,0,10,0,0,42
87.0,0,10,0,0,42
88.0,0,10,0,0,42
89.0,0,10,0,0,42
90.0,0,10,0,0,42
91.0,0,10,0,0,42
92.0,0,10,0,0,42
93.0,0,10,0,0,42
94.0,0,10,0,0,42
95.0,0,10,0,0,42
96.0,0,10,0,0,42
97.0,0,10,0,0,42
98.0,0,10,0,0,42
99.0,0,10,0,0,42
100.0,0,10,0,0,42
