time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2,1,199,1,0,0
3,1,199,1,0,0
4,1,199,1,0,0
5.0,2,198,2,0,0
6.0,2,198,2,0,0
7.0,2,198,2,0,0
8.0,2,198,2,0,0
9.0,3,197,3,0,0
10.0,3,196,3,1,0
11.0,4,195,4,2,0
12.0,9,190,9,3,0
13.0,20,179,20,7,0
14.0,31,168,31,11,0
15.0,45,153,45,14,0
16.0,59,139,59,18,0
17.0,89,109,89,25,0
18.0,105,93,105,26,0
19.0,123,74,123,29,0
20.0,135,61,135,31,1
21.0,143,52,143,32,2
22.0,151,39,151,32,3
23.0,143,36,143,28,7
24.0,141,27,141,24,11
25.0,132,21,132,21,14
26.0,122,17,122,17,18
27.0,92,17,92,10,25
28.0,76,17,76,9,26
29.0,58,16,58,6,29
30.0,46,15,46,3,32
31.0,39,13,39,1,34
32.0,26,13,26,0,35
33.0,23,13,23,0,35
34.0,14,13,14,0,35
35.0,8,13,8,0,35
36.0,4,13,4,0,35
37.0,4,13,4,0,35
38.0,4,13,4,0,35
39.0,3,13,3,0,35
40.0,2,13,2,0,35
41.0,0,13,0,0,35
42.0,0,13,0,0,35
43.0,0,13,0,0,35
44.0,0,13,0,0,35
45.0,0,13,0,0,35
46.0,0,13,0,0,35
47.0,0,13,0,0,35
48.0,0,13,0,0,35
49.0,0,13,0,0,35
50.0,0,13,0,0,35
51.0,0,13,0,0,35
52.0,0,13,0,0,35
53.0,0,13,0,0,35
54.0,0,13,0,0,35
55.0,0,13,0,0,35
56.0,0,13,0,0,35
57.0,0,13,0,0,35
58.0,0,13,0,0,35
59.0,0,13,0,0,35
60.0,0,13,0,0,35
61.0,0,13,0,0,35
62.0,0,13,0,0,35
63.0,0,13,0,0,35
64.0,0,13,0,0,35
65.0,0,13,0,0,35
66.0,0,13,0,0,35
67.0,0,13,0,0,35
68.0,0,13,0,0,35
69.0,0,13,0,0,35
70.0,0,13,0,0,35
71.0,0,13,0,0,35
72.0,0,13,0,0,35
73.0,0,13,0,0,35
74.0,0,13,0,0,35
75.0,0,13,0,0,35
76.0,0,13,0,0,35
77.0,0,13,0,0,35
78.0,0,13,0,0,35
79.0,0,13,0,0,35
80.0,0,13,0,0,35
81.0,0,13,0,0,35
82.0,0,13,0,0,35
83.0,0,13,0,0,35
84.0,0,13,0,0,35
85.0,0,13,0,0,35
86.0,0,13,0,0,35
87.0,0,13,0,0,35
88.0,0,13,0,0,35
89.0,0,13,0,0,35
90.0,0,13,0,0,35
91.0,0,13,0,0,35
92.0,0,13,0,0,35
93.0,0,13,0,0,35
94.0,0,13,0,0,35
95.0,0,13,0,0,35
96.0,0,13,0,0,35
97.0,0,13,0,0,35
98.0,0,13,0,0,35
99.0,0,13,0,0,35
100.0,0,13,0,0,35
