time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,2,198,2,1,0
3.0,6,194,6,1,0
4.0,6,194,6,1,0
5.0,9,191,9,1,0
6.0,12,188,12,2,0
7.0,14,186,14,2,0
8.0,24,176,24,6,0
9.0,43,157,43,10,0
10.0,64,135,64,15,0
11.0,84,115,84,19,0
12.0,104,94,104,24,1
13.0,121,73,121,24,1
14.0,134,60,134,24,1
15.0,144,47,144,28,1
16.0,148,40,148,29,2
17.0,153,33,153,31,2
18.0,150,26,150,30,6
19.0,139,18,139,29,10
20.0,120,15,120,24,15
21.0,101,14,101,20,19
22.0,80,14,80,14,25
23.0,59,14,59,14,25
24.0,47,13,47,14,25
25.0,34,13,34,10,29
26.0,27,13,27,8,31
27.0,20,13,20,6,33
28.0,14,12,14,3,36
29.0,6,12,6,0,39
30.0,3,12,3,0,39
31.0,2,12,2,0,39
32.0,2,12,2,0,39
33.0,2,12,2,0,39
34.0,1,12,1,0,39
35.0,1,12,1,0,39
36.0,1,12,1,0,39
37.0,1,12,1,0,39
38.0,0,12,0,0,39
39.0,0,12,0,0,39
40.0,0,12,0,0,39
41.0,0,12,0,0,39
42.0,0,12,0,0,39
43.0,0,12,0,0,39
44.0,0,12,0,0,39
45.0,0,12,0,0,39
46.0,0,12,0,0,39
47.0,0,12,0,0,39
48.0,0,12,0,0,39
49.0,0,12,0,0,39
50.0,0,12,0,0,39
51.0,0,12,0,0,39
52.0,0,12,0,0,39
53.0,0,12,0,0,39
54.0,0,12,0,0,39
55.0,0,12,0,0,39
56.0,0,12,0,0,39
57.0,0,12,0,0,39
58.0,0,12,0,0,39
59.0,0,12,0,0,39
60.0,0,12,0,0,39
61.0,0,12,0,0,39
62.0,0,12,0,0,39
63.0,0,12,0,0,39
64.0,0,12,0,0,39
65.0,0,12,0,0,39
66.0,0,12,0,0,39
67.0,0,12,0,0,39
68.0,0,12,0,0,39
69.0,0,12,0,0,39
70.0,0,12,0,0,39
71.0,0,12,0,0,39
72.0,0,12,0,0,39
73.0,0,12,0,0,39
74.0,0,12,0,0,39
75.0,0,12,0,0,39
76.0,0,12,0,0,39
77.0,0,12,0,0,39
78.0,0,12,0,0,39
79.0,0,12,0,0,39
80.0,0,12,0,0,39
81.0,0,12,0,0,39
82.0,0,12,0,0,39
83.0,0,12,0,0,39
84.0,0,12,0,0,39
85.0,0,12,0,0,39
86.0,0,12,0,0,39
87.0,0,12,0,0,39
88.0,0,12,0,0,39
89.0,0,12,0,0,39
90.0,0,12,0,0,39
91.0,0,12,0,0,39
92.0,0,12,0,0,39
93.0,0,12,0,0,39
94.0,0,12,0,0,39
95.0,0,12,0,0,39
96.0,0,12,0,0,39
97.0,0,12,0,0,39
98.0,0,12,0,0,39
99.0,0,12,0,0,39
100.0,0,12,0,0,39
