time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,198,2,0,0
2.0,2,198,2,0,0
3.0,2,198,2,0,0
4.0,2,198,2,0,0
5.0,3,197,3,1,0
6.0,3,197,3,1,0
7.0,4,196,4,1,0
8.0,9,191,9,2,0
9.0,15,185,15,4,0
10.0,31,168,31,8,0
11.0,37,161,37,8,0
12.0,45,153,45,8,0
13.0,62,136,62,12,0
14.0,76,122,76,16,0
15.0,103,94,103,20,1
16.0,117,80,117,24,1
17.0,133,63,133,26,1
18.0,142,49,142,27,2
19.0,147,38,147,27,4
20.0,138,30,138,23,8
21.0,135,26,135,23,8
22.0,134,19,134,24,8
23.0,119,17,119,20,12
24.0,107,15,107,16,16
25.0,82,12,82,12,21
26.0,69,11,69,9,25
27.0,53,10,53,8,27
28.0,40,9,40,6,29
29.0,29,9,29,4,31
30.0,21,9,21,4,31
31.0,18,8,18,4,31
32.0,11,8,11,3,32
33.0,9,8,9,3,32
34.0,7,8,7,3,32
35.0,4,8,4,2,33
36.0,3,8,3,1,34
37.0,2,8,2,0,35
38.0,1,8,1,0,35
39.0,1,8,1,0,35
40.0,1,8,1,0,35
41.0,0,8,0,0,35
42.0,0,8,0,0,35
43.0,0,8,0,0,35
44.0,0,8,0,0,35
45.0,0,8,0,0,35
46.0,0,8,0,0,35
47.0,0,8,0,0,35
48.0,0,8,0,0,35
49.0,0,8,0,0,35
50.0,0,8,0,0,35
51.0,0,8,0,0,35
52.0,0,8,0,0,35
53.0,0,8,0,0,35
54.0,0,8,0,0,35
55.0,0,8,0,0,35
56.0,0,8,0,0,35
57.0,0,8,0,0,35
58.0,0,8,0,0,35
59.0,0,8,0,0,35
60.0,0,8,0,0,35
61.0,0,8,0,0,35
62.0,0,8,0,0,35
63.0,0,8,0,0,35
64.0,0,8,0,0,35
65.0,0,8,0,0,35
66.0,0,8,0,0,35
67.0,0,8,0,0,35
68.0,0,8,0,0,35
69.0,0,8,0,0,35
70.0,0,8,0,0,35
71.0,0,8,0,0,35
72.0,0,8,0,0,35
73.0,0,8,0,0,35
74.0,0,8,0,0,35
75.0,0,8,0,0,35
76.0,0,8,0,0,35
77.0,0,8,0,0,35
78.0,0,8,0,0,35
79.0,0,8,0,0,35
80.0,0,8,0,0,35
81.0,0,8,0,0,35
82.0,0,8,0,0,35
83.0,0,8,0,0,35
84.0,0,8,0,0,35
85.0,0,8,0,0,35
86.0,0,8,0,0,35
87.0,0,8,0,0,35
88.0,0,8,0,0,35
89.0,0,8,0,0,35
90.0,0,8,0,0,35
91.0,0,8,0,0,35
92.0,0,8,0,0,35
93.0,0,8,0,0,35
94.0,0,8,0,0,35
95.0,0,8,0,0,35
96.0,0,8,0,0,35
97.0,0,8,0,0,35
98.0,0,8,0,0,35
99.0,0,8,0,0,35
100.0,0,8,0,0,35
