time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,1,0
2,1,199,1,1,0
3,1,199,1,1,0
4,1,199,1,1,0
5.0,2,198,2,1,0
6.0,4,196,4,3,0
7.0,5,195,5,3,0
8.0,5,195,5,3,0
9.0,6,194,6,4,0
10.0,8,191,8,4,1
11.0,12,187,12,6,1
12.0,14,185,14,7,1
13.0,20,179,20,10,1
14.0,26,173,26,11,1
15.0,35,163,35,14,1
16.0,44,152,44,15,3
17.0,58,137,58,19,3
18.0,72,123,72,20,3
19.0,86,108,86,23,4
20.0,88,103,88,23,5
21.0,91,96,91,22,7
22.0,103,82,103,23,8
23.0,107,72,107,23,11
24.0,108,65,108,23,12
25.0,102,61,102,21,15
26.0,97,55,97,21,18
27.0,86,51,86,18,22
28.0,77,46,77,19,23
29.0,65,43,65,15,27
30.0,61,42,61,14,28
31.0,55,41,55,14,29
32.0,41,41,41,12,31
33.0,32,40,32,9,34
34.0,26,39,26,8,35
35.0,22,39,22,7,36
36.0,17,38,17,4,39
37.0,14,37,14,3,40
38.0,9,37,9,1,42
39.0,6,37,6,1,42
40.0,5,37,5,1,42
41.0,5,36,5,1,43
42.0,5,36,5,1,43
43.0,6,34,6,1,43
44.0,6,33,6,1,43
45.0,6,33,6,1,43
46.0,5,33,5,1,43
47.0,4,33,4,1,43
48.0,4,33,4,1,43
49.0,4,33,4,1,43
50.0,4,33,4,1,43
51.0,3,33,3,0,44
52.0,3,33,3,0,44
53.0,1,33,1,0,44
54.0,0,33,0,0,44
55.0,0,33,0,0,44
56.0,0,33,0,0,44
57.0,0,33,0,0,44
58.0,0,33,0,0,44
59.0,0,33,0,0,44
60.0,0,33,0,0,44
61.0,0,33,0,0,44
62.0,0,33,0,0,44
63.0,0,33,0,0,44
64.0,0,33,0,0,44
65.0,0,33,0,0,44
66.0,0,33,0,0,44
67.0,0,33,0,0,44
68.0,0,33,0,0,44
69.0,0,33,0,0,44
70.0,0,33,0,0,44
71.0,0,33,0,0,44
72.0,0,33,0,0,44
73.0,0,33,0,0,44
74.0,0,33,0,0,44
75.0,0,33,0,0,44
76.0,0,33,0,0,44
77.0,0,33,0,0,44
78.0,0,33,0,0,44
79.0,0,33,0,0,44
80.0,0,33,0,0,44
81.0,0,33,0,0,44
82.0,0,33,0,0,44
83.0,0,33,0,0,44
84.0,0,33,0,0,44
85.0,0,33,0,0,44
86.0,0,33,0,0,44
87.0,0,33,0,0,44
88.0,0,33,0,0,44
89.0,0,33,0,0,44
90.0,0,33,0,0,44
91.0,0,33,0,0,44
92.0,0,33,0,0,44
93.0,0,33,0,0,44
94.0,0,33,0,0,44
95.0,0,33,0,0,44
96.0,0,33,0,0,44
97.0,0,33,0,0,44
98.0,0,33,0,0,44
99.0,0,33,0,0,44
100.0,0,33,0,0,44
