time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,1,0
2.0,2,198,2,2,0
3.0,3,197,3,3,0
4.0,6,194,6,3,0
5.0,6,194,6,3,0
6.0,7,193,7,3,0
7.0,10,190,10,3,0
8.0,12,188,12,3,0
9.0,16,184,16,4,0
10.0,22,177,22,5,1
11.0,26,173,26,6,1
12.0,37,161,37,8,2
13.0,55,142,55,13,3
14.0,74,120,74,16,3
15.0,95,99,95,21,3
16.0,116,77,116,29,3
17.0,133,57,133,35,3
18.0,147,41,147,39,3
19.0,153,31,153,40,4
20.0,156,21,156,42,6
21.0,156,17,156,43,7
22.0,146,15,146,41,10
23.0,129,13,129,36,16
24.0,108,12,108,33,19
25.0,89,10,89,29,24
26.0,67,10,67,21,32
27.0,48,9,48,15,38
28.0,32,9,32,11,42
29.0,23,8,23,9,44
30.0,13,8,13,5,48
31.0,9,8,9,3,50
32.0,7,8,7,2,51
33.0,6,7,6,2,52
34.0,6,6,6,2,52
35.0,4,6,4,1,53
36.0,4,6,4,1,53
37.0,3,6,3,1,53
38.0,3,6,3,1,53
39.0,2,6,2,1,53
40.0,2,6,2,1,53
41.0,2,6,2,1,53
42.0,2,6,2,1,53
43.0,1,6,1,0,54
44.0,0,6,0,0,54
45.0,0,6,0,0,54
46.0,0,6,0,0,54
47.0,0,6,0,0,54
48.0,0,6,0,0,54
49.0,0,6,0,0,54
50.0,0,6,0,0,54
51.0,0,6,0,0,54
52.0,0,6,0,0,54
53.0,0,6,0,0,54
54.0,0,6,0,0,54
55.0,0,6,0,0,54
56.0,0,6,0,0,54
57.0,0,6,0,0,54
58.0,0,6,0,0,54
59.0,0,6,0,0,54
60.0,0,6,0,0,54
61.0,0,6,0,0,54
62.0,0,6,0,0,54
63.0,0,6,0,0,54
64.0,0,6,0,0,54
65.0,0,6,0,0,54
66.0,0,6,0,0,54
67.0,0,6,0,0,54
68.0,0,6,0,0,54
69.0,0,6,0,0,54
70.0,0,6,0,0,54
71.0,0,6,0,0,54
72.0,0,6,0,0,54
73.0,0,6,0,0,54
74.0,0,6,0,0,54
75.0,0,6,0,0,54
76.0,0,6,0,0,54
77.0,0,6,0,0,54
78.0,0,6,0,0,54
79.0,0,6,0,0,54
80.0,0,6,0,0,54
81.0,0,6,0,0,54
82.0,0,6,0,0,54
83.0,0,6,0,0,54
84.0,0,6,0,0,54
85.0,0,6,0,0,54
86.0,0,6,0,0,54
87.0,0,6,0,0,54
88.0,0,6,0,0,54
89.0,0,6,0,0,54
90.0,0,6,0,0,54
91.0,0,6,0,0,54
92.0,0,6,0,0,54
93.0,0,6,0,0,54
94.0,0,6,0,0,54
95.0,0,6,0,0,54
96.0,0,6,0,0,54
97.0,0,6,0,0,54
98.0,0,6,0,0,54
99.0,0,6,0,0,54
100.0,0,6,0,0,54
