time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,2,198,2,1,0
3.0,6,194,6,2,0
4.0,13,187,13,3,0
5.0,17,183,17,5,0
6.0,22,178,22,6,0
7.0,37,163,37,8,0
8.0,58,142,58,13,0
9.0,82,118,82,16,0
10.0,101,98,101,19,0
11.0,122,77,122,26,0
12.0,137,61,137,29,1
13.0,143,51,143,28,2
14.0,151,36,151,33,3
15.0,155,28,155,32,5
16.0,155,23,155,32,6
17.0,144,19,144,31,8
18.0,123,19,123,26,13
19.0,105,13,105,24,16
20.0,87,11,87,21,19
21.0,66,11,66,14,26
22.0,50,11,50,10,30
23.0,40,11,40,10,30
24.0,26,10,26,4,36
25.0,19,9,19,3,37
26.0,14,9,14,2,38
27.0,10,9,10,1,39
28.0,10,9,10,1,39
29.0,4,9,4,0,40
30.0,2,9,2,0,40
31.0,2,9,2,0,40
32.0,2,9,2,0,40
33.0,2,9,2,0,40
34.0,1,9,1,0,40
35.0,0,9,0,0,40
36.0,0,9,0,0,40
37.0,0,9,0,0,40
38.0,0,9,0,0,40
39.0,0,9,0,0,40
40.0,0,9,0,0,40
41.0,0,9,0,0,40
42.0,0,9,0,0,40
43.0,0,9,0,0,40
44.0,0,9,0,0,40
45.0,0,9,0,0,40
46.0,0,9,0,0,40
47.0,0,9,0,0,40
48.0,0,9,0,0,40
49.0,0,9,0,0,40
50.0,0,9,0,0,40
51.0,0,9,0,0,40
52.0,0,9,0,0,40
53.0,0,9,0,0,40
54.0,0,9,0,0,40
55.0,0,9,0,0,40
56.0,0,9,0,0,40
57.0,0,9,0,0,40
58.0,0,9,0,0,40
59.0,0,9,0,0,40
60.0,0,9,0,0,40
61.0,0,9,0,0,40
62.0,0,9,0,0,40
63.0,0,9,0,0,40
64.0,0,9,0,0,40
65.0,0,9,0,0,40
66.0,0,9,0,0,40
67.0,0,9,0,0,40
68.0,0,9,0,0,40
69.0,0,9,0,0,40
70.0,0,9,0,0,40
71.0,0,9,0,0,40
72.0,0,9,0,0,40
73.0,0,9,0,0,40
74.0,0,9,0,0,40
75.0,0,9,0,0,40
76.0,0,9,0,0,40
77.0,0,9,0,0,40
78.0,0,9,0,0,40
79.0,0,9,0,0,40
80.0,0,9,0,0,40
81.0,0,9,0,0,40
82.0,0,9,0,0,40
83.0,0,9,0,0,40
84.0,0,9,0,0,40
85.0,0,9,0,0,40
86.0,0,9,0,0,40
87.0,0,9,0,0,40
88.0,0,9,0,0,40
89.0,0,9,0,0,40
90.0,0,9,0,0,40
91.0,0,9,0,0,40
92.0,0,9,0,0,40
93.0,0,9,0,0,40
94.0,0,9,0,0,40
95.0,0,9,0,0,40
96.0,0,9,0,0,40
97.0,0,9,0,0,40
98.0,0,9,0,0,40
99.0,0,9,0,0,40
100.0,0,9,0,0,40
