time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,3,197,3,0,0
3.0,5,195,5,1,0
4.0,8,192,8,2,0
5.0,11,189,11,3,0
6.0,19,181,19,5,0
7.0,31,169,31,8,0
8.0,53,147,53,14,0
9.0,75,125,75,18,0
10.0,91,108,91,21,0
11.0,104,95,104,25,0
12.0,119,78,119,28,0
13.0,124,71,124,28,1
14.0,133,59,133,28,2
15.0,135,54,135,29,3
16.0,135,46,135,28,5
17.0,130,39,130,27,8
18.0,111,36,111,22,14
19.0,95,30,95,19,18
20.0,81,27,81,18,21
21.0,70,25,70,14,25
22.0,56,22,56,12,28
23.0,50,21,50,11,29
24.0,40,19,40,11,30
25.0,37,17,37,9,32
26.0,30,16,30,8,33
27.0,24,15,24,7,35
28.0,22,14,22,6,36
29.0,17,13,17,5,37
30.0,14,13,14,3,39
31.0,12,13,12,3,39
32.0,9,13,9,2,40
33.0,8,13,8,2,40
34.0,6,13,6,1,41
35.0,4,13,4,1,41
36.0,3,13,3,1,41
37.0,2,13,2,0,42
38.0,1,13,1,0,42
39.0,0,13,0,0,42
40.0,0,13,0,0,42
41.0,0,13,0,0,42
42.0,0,13,0,0,42
43.0,0,13,0,0,42
44.0,0,13,0,0,42
45.0,0,13,0,0,42
46.0,0,13,0,0,42
47.0,0,13,0,0,42
48.0,0,13,0,0,42
49.0,0,13,0,0,42
50.0,0,13,0,0,42
51.0,0,13,0,0,42
52.0,0,13,0,0,42
53.0,0,13,0,0,42
54.0,0,13,0,0,42
55.0,0,13,0,0,42
56.0,0,13,0,0,42
57.0,0,13,0,0,42
58.0,0,13,0,0,42
59.0,0,13,0,0,42
60.0,0,13,0,0,42
61.0,0,13,0,0,42
62.0,0,13,0,0,42
63.0,0,13,0,0,42
64.0,0,13,0,0,42
65.0,0,13,0,0,42
66.0,0,13,0,0,42
67.0,0,13,0,0,42
68.0,0,13,0,0,42
69.0,0,13,0,0,42
70.0,0,13,0,0,42
71.0,0,13,0,0,42
72.0,0,13,0,0,42
73.0,0,13,0,0,42
74.0,0,13,0,0,42
75.0,0,13,0,0,42
76.0,0,13,0,0,42
77.0,0,13,0,0,42
78.0,0,13,0,0,42
79.0,0,13,0,0,42
80.0,0,13,0,0,42
81.0,0,13,0,0,42
82.0,0,13,0,0,42
83.0,0,13,0,0,42
84.0,0,13,0,0,42
85.0,0,13,0,0,42
86.0,0,13,0,0,42
87.0,0,13,0,0,42
88.0,0,13,0,0,42
89.0,0,13,0,0,42
90.0,0,13,0,0,42
91.0,0,13,0,0,42
92.0,0,13,0,0,42
93.0,0,13,0,0,42
94.0,0,13,0,0,42
95.0,0,13,0,0,42
96.0,0,13,0,0,42
97.0,0,13,0,0,42
98.0,0,13,0,0,42
99.0,0,13,0,0,42
100.0,0,13,0,0,42
