time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,198,2,1,0
2.0,5,195,5,2,0
3.0,6,194,6,2,0
4.0,7,193,7,2,0
5.0,13,187,13,5,0
6.0,15,185,15,5,0
7.0,25,175,25,7,0
8.0,35,165,35,10,0
9.0,39,161,39,10,0
10.0,50,149,50,11,1
11.0,63,135,63,11,1
12.0,83,112,83,17,2
13.0,103,91,103,20,2
14.0,121,72,121,26,2
15.0,127,60,127,28,5
16.0,137,48,137,30,5
17.0,137,38,137,30,7
18.0,136,29,136,29,10
19.0,141,20,141,32,10
20.0,131,18,131,30,12
21.0,118,17,118,31,12
22.0,97,15,97,25,19
23.0,77,14,77,22,22
24.0,58,14,58,16,28
25.0,47,13,47,11,33
26.0,36,12,36,9,35
27.0,26,12,26,7,37
28.0,17,12,17,5,39
29.0,8,12,8,2,42
30.0,6,12,6,2,42
31.0,5,12,5,1,43
32.0,3,12,3,0,44
33.0,2,12,2,0,44
34.0,2,12,2,0,44
35.0,1,12,1,0,44
36.0,0,12,0,0,44
37.0,0,12,0,0,44
38.0,0,12,0,0,44
39.0,0,12,0,0,44
40.0,0,12,0,0,44
41.0,0,12,0,0,44
42.0,0,12,0,0,44
43.0,0,12,0,0,44
44.0,0,12,0,0,44
45.0,0,12,0,0,44
46.0,0,12,0,0,44
47.0,0,12,0,0,44
48.0,0,12,0,0,44
49.0,0,12,0,0,44
50.0,0,12,0,0,44
51.0,0,12,0,0,44
52.0,0,12,0,0,44
53.0,0,12,0,0,44
54.0,0,12,0,0,44
55.0,0,12,0,0,44
56.0,0,12,0,0,44
57.0,0,12,0,0,44
58.0,0,12,0,0,44
59.0,0,12,0,0,44
60.0,0,12,0,0,44
61.0,0,12,0,0,44
62.0,0,12,0,0,44
63.0,0,12,0,0,44
64.0,0,12,0,0,44
65.0,0,12,0,0,44
66.0,0,12,0,0,44
67.0,0,12,0,0,44
68.0,0,12,0,0,44
69.0,0,12,0,0,44
70.0,0,12,0,0,44
71.0,0,12,0,0,44
72.0,0,12,0,0,44
73.0,0,12,0,0,44
74.0,0,12,0,0,44
75.0,0,12,0,0,44
76.0,0,12,0,0,44
77.0,0,12,0,0,44
78.0,0,12,0,0,44
79.0,0,12,0,0,44
80.0,0,12,0,0,44
81.0,0,12,0,0,44
82.0,0,12,0,0,44
83.0,0,12,0,0,44
84.0,0,12,0,0,44
85.0,0,12,0,0,44
86.0,0,12,0,0,44
87.0,0,12,0,0,44
88.0,0,12,0,0,44
89.0,0,12,0,0,44
90.0,0,12,0,0,44
91.0,0,12,0,0,44
92.0,0,12,0,0,44
93.0,0,12,0,0,44
94.0,0,12,0,0,44
95.0,0,12,0,0,44
96.0,0,12,0,0,44
97.0,0,12,0,0,44
98.0,0,12,0,0,44
99.0,0,12,0,0,44
100.0,0,12,0,0,44
