time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,2,198,2,0,0
3.0,4,196,4,1,0
4.0,6,194,6,2,0
5.0,9,191,9,2,0
6.0,14,186,14,2,0
7.0,19,181,19,3,0
8.0,27,173,27,3,0
9.0,34,166,34,4,0
10.0,43,156,43,6,0
11.0,63,136,63,9,0
12.0,81,117,81,12,0
13.0,93,103,93,12,1
14.0,118,76,118,19,2
15.0,130,61,130,24,2
16.0,140,46,140,25,2
17.0,145,36,145,25,3
18.0,141,32,141,26,3
19.0,142,24,142,29,4
20.0,136,20,136,27,6
21.0,122,14,122,26,9
22.0,104,13,104,24,12
23.0,92,11,92,25,13
24.0,65,11,65,17,21
25.0,51,10,51,12,26
26.0,36,10,36,11,27
27.0,26,10,26,10,28
28.0,23,9,23,9,29
29.0,15,9,15,5,33
30.0,11,9,11,5,33
31.0,5,9,5,3,35
32.0,4,9,4,2,36
33.0,2,9,2,0,38
34.0,2,9,2,0,38
35.0,1,9,1,0,38
36.0,1,9,1,0,38
37.0,1,9,1,0,38
38.0,0,9,0,0,38
39.0,0,9,0,0,38
40.0,0,9,0,0,38
41.0,0,9,0,0,38
42.0,0,9,0,0,38
43.0,0,9,0,0,38
44.0,0,9,0,0,38
45.0,0,9,0,0,38
46.0,0,9,0,0,38
47.0,0,9,0,0,38
48.0,0,9,0,0,38
49.0,0,9,0,0,38
50.0,0,9,0,0,38
51.0,0,9,0,0,38
52.0,0,9,0,0,38
53.0,0,9,0,0,38
54.0,0,9,0,0,38
55.0,0,9,0,0,38
56.0,0,9,0,0,38
57.0,0,9,0,0,38
58.0,0,9,0,0,38
59.0,0,9,0,0,38
60.0,0,9,0,0,38
61.0,0,9,0,0,38
62.0,0,9,0,0,38
63.0,0,9,0,0,38
64.0,0,9,0,0,38
65.0,0,9,0,0,38
66.0,0,9,0,0,38
67.0,0,9,0,0,38
68.0,0,9,0,0,38
69.0,0,9,0,0,38
70.0,0,9,0,0,38
71.0,0,9,0,0,38
72.0,0,9,0,0,38
73.0,0,9,0,0,38
74.0,0,9,0,0,38
75.0,0,9,0,0,38
76.0,0,9,0,0,38
77.0,0,9,0,0,38
78.0,0,9,0,0,38
79.0,0,9,0,0,38
80.0,0,9,0,0,38
81.0,0,9,0,0,38
82.0,0,9,0,0,38
83.0,0,9,0,0,38
84.0,0,9,0,0,38
85.0,0,9,0,0,38
86.0,0,9,0,0,38
87.0,0,9,0,0,38
88.0,0,9,0,0,38
89.0,0,9,0,0,38
90.0,0,9,0,0,38
91.0,0,9,0,0,38
92.0,0,9,0,0,38
93.0,0,9,0,0,38
94.0,0,9,0,0,38
95.0,0,9,0,0,38
96.0,0,9,0,0,38
97.0,0,9,0,0,38
98.0,0,9,0,0,38
99.0,0,9,0,0,38
100.0,0,9,0,0,38
