time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,3,197,3,1,0
3.0,5,195,5,1,0
4.0,6,194,6,1,0
5.0,9,191,9,1,0
6.0,15,185,15,2,0
7.0,23,177,23,4,0
8.0,35,165,35,8,0
9.0,50,150,50,12,0
10.0,68,131,68,16,0
11.0,83,116,83,18,0
12.0,102,95,102,20,1
13.0,122,73,122,28,1
14.0,139,55,139,31,1
15.0,149,42,149,34,1
16.0,152,33,152,35,2
17.0,148,29,148,33,4
18.0,143,22,143,31,8
19.0,130,20,130,27,12
20.0,115,16,115,24,16
21.0,106,10,106,23,18
22.0,85,10,85,20,21
23.0,66,7,66,12,29
24.0,48,7,48,9,32
25.0,35,7,35,6,35
26.0,26,7,26,4,37
27.0,22,7,22,4,37
28.0,16,6,16,2,39
29.0,14,6,14,2,39
30.0,10,6,10,1,40
31.0,4,6,4,0,41
32.0,4,6,4,0,41
33.0,1,6,1,0,41
34.0,1,6,1,0,41
35.0,1,6,1,0,41
36.0,1,6,1,0,41
37.0,1,6,1,0,41
38.0,0,6,0,0,41
39.0,0,6,0,0,41
40.0,0,6,0,0,41
41.0,0,6,0,0,41
42.0,0,6,0,0,41
43.0,0,6,0,0,41
44.0,0,6,0,0,41
45.0,0,6,0,0,41
46.0,0,6,0,0,41
47.0,0,6,0,0,41
48.0,0,6,0,0,41
49.0,0,6,0,0,41
50.0,0,6,0,0,41
51.0,0,6,0,0,41
52.0,0,6,0,0,41
53.0,0,6,0,0,41
54.0,0,6,0,0,41
55.0,0,6,0,0,41
56.0,0,6,0,0,41
57.0,0,6,0,0,41
58.0,0,6,0,0,41
59.0,0,6,0,0,41
60.0,0,6,0,0,41
61.0,0,6,0,0,41
62.0,0,6,0,0,41
63.0,0,6,0,0,41
64.0,0,6,0,0,41
65.0,0,6,0,0,41
66.0,0,6,0,0,41
67.0,0,6,0,0,41
68.0,0,6,0,0,41
69.0,0,6,0,0,41
70.0,0,6,0,0,41
71.0,0,6,0,0,41
72.0,0,6,0,0,41
73.0,0,6,0,0,41
74.0,0,6,0,0,41
75.0,0,6,0,0,41
76.0,0,6,0,0,41
77.0,0,6,0,0,41
78.0,0,6,0,0,41
79.0,0,6,0,0,41
80.0,0,6,0,0,41
81.0,0,6,0,0,41
82.0,0,6,0,0,41
83.0,0,6,0,0,41
84.0,0,6,0,0,41
85.0,0,6,0,0,41
86.0,0,6,0,0,41
87.0,0,6,0,0,41
88.0,0,6,0,0,41
89.0,0,6,0,0,41
90.0,0,6,0,0,41
91.0,0,6,0,0,41
92.0,0,6,0,0,41
93.0,0,6,0,0,41
94.0,0,6,0,0,41
95.0,0,6,0,0,41
96.0,0,6,0,0,41
97.0,0,6,0,0,41
98.0,0,6,0,0,41
99.0,0,6,0,0,41
100.0,0,6,0,0,41
