time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,198,2,0,0
2.0,3,197,3,0,0
3.0,6,194,6,0,0
4.0,9,191,9,1,0
5.0,10,190,10,1,0
6.0,14,186,14,3,0
7.0,21,179,21,4,0
8.0,26,174,26,5,0
9.0,33,167,33,6,0
10.0,43,156,43,10,0
11.0,55,143,55,15,0
12.0,77,120,77,21,0
13.0,90,104,90,24,0
14.0,106,85,106,27,1
15.0,120,70,120,32,1
16.0,131,55,131,33,3
17.0,136,43,136,34,4
18.0,141,33,141,36,5
19.0,146,21,146,36,6
20.0,139,17,139,32,10
21.0,129,14,129,27,15
22.0,109,11,109,22,21
23.0,94,10,94,20,24
24.0,77,8,77,17,28
25.0,63,7,63,12,33
26.0,48,7,48,9,36
27.0,36,7,36,7,38
28.0,27,6,27,4,41
29.0,16,5,16,4,42
30.0,12,5,12,4,42
31.0,9,5,9,4,42
32.0,6,5,6,3,43
33.0,5,5,5,2,44
34.0,3,5,3,1,45
35.0,2,5,2,1,45
36.0,2,5,2,1,45
37.0,2,5,2,1,45
38.0,1,5,1,1,45
39.0,0,5,0,0,46
40.0,0,5,0,0,46
41.0,0,5,0,0,46
42.0,0,5,0,0,46
43.0,0,5,0,0,46
44.0,0,5,0,0,46
45.0,0,5,0,0,46
46.0,0,5,0,0,46
47.0,0,5,0,0,46
48.0,0,5,0,0,46
49.0,0,5,0,0,46
50.0,0,5,0,0,46
51.0,0,5,0,0,46
52.0,0,5,0,0,46
53.0,0,5,0,0,46
54.0,0,5,0,0,46
55.0,0,5,0,0,46
56.0,0,5,0,0,46
57.0,0,5,0,0,46
58.0,0,5,0,0,46
59.0,0,5,0,0,46
60.0,0,5,0,0,46
61.0,0,5,0,0,46
62.0,0,5,0,0,46
63.0,0,5,0,0,46
64.0,0,5,0,0,46
65.0,0,5,0,0,46
66.0,0,5,0,0,46
67.0,0,5,0,0,46
68.0,0,5,0,0,46
69.0,0,5,0,0,46
70.0,0,5,0,0,46
71.0,0,5,0,0,46
72.0,0,5,0,0,46
73.0,0,5,0,0,46
74.0,0,5,0,0,46
75.0,0,5,0,0,46
76.0,0,5,0,0,46
77.0,0,5,0,0,46
78.0,0,5,0,0,46
79.0,0,5,0,0,46
80.0,0,5,0,0,46
81.0,0,5,0,0,46
82.0,0,5,0,0,46
83.0,0,5,0,0,46
84.0,0,5,0,0,46
85.0,0,5,0,0,46
86.0,0,5,0,0,46
87.0,0,5,0,0,46
88.0,0,5,0,0,46
89.0,0,5,0,0,46
90.0,0,5,0,0,46
91.0,0,5,0,0,46
92.0,0,5,0,0,46
93.0,0,5,0,0,46
94.0,0,5,0,0,46
95.0,0,5,0,0,46
96.0,0,5,0,0,46
97.0,0,5,0,0,46
98.0,0,5,0,0,46
99.0,0,5,0,0,46
100.0,0,5,0,0,46
