time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,198,2,0,0
2.0,3,197,3,0,0
3.0,11,189,11,1,0
4.0,18,182,18,3,0
5.0,26,174,26,4,0
6.0,40,160,40,5,0
7.0,51,149,51,8,0
8.0,58,142,58,9,0
9.0,68,132,68,11,0
10.0,85,114,85,15,0
11.0,106,92,106,21,0
12.0,120,77,120,22,0
13.0,130,59,130,25,1
14.0,134,48,134,27,3
15.0,134,40,134,27,4
16.0,124,36,124,26,5
17.0,118,31,118,25,8
18.0,115,27,115,25,9
19.0,109,23,109,23,11
20.0,94,20,94,19,15
21.0,73,19,73,13,21
22.0,59,18,59,12,22
23.0,43,16,43,8,26
24.0,34,14,34,4,30
25.0,26,14,26,3,31
26.0,22,14,22,3,31
27.0,17,14,17,1,33
28.0,13,14,13,0,34
29.0,12,11,12,0,34
30.0,9,11,9,0,34
31.0,8,11,8,0,34
32.0,7,11,7,0,34
33.0,5,11,5,0,34
34.0,4,10,4,0,34
35.0,4,10,4,0,34
36.0,5,9,5,0,34
37.0,5,9,5,0,34
38.0,5,9,5,0,34
39.0,2,9,2,0,34
40.0,3,8,3,1,34
41.0,3,8,3,1,34
42.0,3,8,3,1,34
43.0,3,8,3,1,34
44.0,2,8,2,1,34
45.0,2,8,2,1,34
46.0,1,8,1,1,34
47.0,1,8,1,1,34
48.0,1,8,1,1,34
49.0,1,8,1,1,34
50.0,0,8,0,0,35
51.0,0,8,0,0,35
52.0,0,8,0,0,35
53.0,0,8,0,0,35
54.0,0,8,0,0,35
55.0,0,8,0,0,35
56.0,0,8,0,0,35
57.0,0,8,0,0,35
58.0,0,8,0,0,35
59.0,0,8,0,0,35
60.0,0,8,0,0,35
61.0,0,8,0,0,35
62.0,0,8,0,0,35
63.0,0,8,0,0,35
64.0,0,8,0,0,35
65.0,0,8,0,0,35
66.0,0,8,0,0,35
67.0,0,8,0,0,35
68.0,0,8,0,0,35
69.0,0,8,0,0,35
70.0,0,8,0,0,35
71.0,0,8,0,0,35
72.0,0,8,0,0,35
73.0,0,8,0,0,35
74.0,0,8,0,0,35
75.0,0,8,0,0,35
76.0,0,8,0,0,35
77.0,0,8,0,0,35
78.0,0,8,0,0,35
79.0,0,8,0,0,35
80.0,0,8,0,0,35
81.0,0,8,0,0,35
82.0,0,8,0,0,35
83.0,0,8,0,0,35
84.0,0,8,0,0,35
85.0,0,8,0,0,35
86.0,0,8,0,0,35
87.0,0,8,0,0,35
88.0,0,8,0,0,35
89.0,0,8,0,0,35
90.0,0,8,0,0,35
91.0,0,8,0,0,35
92.0,0,8,0,0,35
93.0,0,8,0,0,35
94.0,0,8,0,0,35
95.0,0,8,0,0,35
96.0,0,8,0,0,35
97.0,0,8,0,0,35
98.0,0,8,0,0,35
99.0,0,8,0,0,35
100.0,0,8,0,0,35
