time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2,1,199,1,0,0
3,1,199,1,0,0
4,1,199,1,0,0
5.0,2,198,2,0,0
6.0,5,195,5,0,0
7.0,7,193,7,0,0
8.0,9,191,9,0,0
9.0,15,185,15,3,0
10.0,20,179,20,4,0
11.0,26,173,26,5,0
12.0,38,161,38,5,0
13.0,57,142,57,10,0
14.0,73,126,73,12,0
15.0,93,105,93,12,0
16.0,105,90,105,12,0
17.0,113,80,113,13,0
18.0,129,62,129,17,0
19.0,138,47,138,14,3
20.0,144,35,144,16,4
21.0,148,25,148,16,5
22.0,148,13,148,18,5
23.0,132,10,132,14,10
24.0,119,7,119,12,12
25.0,99,6,99,12,12
26.0,87,3,87,13,12
27.0,77,3,77,12,13
28.0,60,2,60,8,17
29.0,45,2,45,8,17
30.0,33,2,33,5,20
31.0,23,2,23,4,21
32.0,11,2,11,2,23
33.0,8,2,8,1,24
34.0,5,2,5,1,24
35.0,4,2,4,1,24
36.0,1,2,1,0,25
37.0,1,2,1,0,25
38.0,0,2,0,0,25
39.0,0,2,0,0,25
40.0,0,2,0,0,25
41.0,0,2,0,0,25
42.0,0,2,0,0,25
43.0,0,2,0,0,25
44.0,0,2,0,0,25
45.0,0,2,0,0,25
46.0,0,2,0,0,25
47.0,0,2,0,0,25
48.0,0,2,0,0,25
49.0,0,2,0,0,25
50.0,0,2,0,0,25
51.0,0,2,0,0,25
52.0,0,2,0,0,25
53.0,0,2,0,0,25
54.0,0,2,0,0,25
55.0,0,2,0,0,25
56.0,0,2,0,0,25
57.0,0,2,0,0,25
58.0,0,2,0,0,25
59.0,0,2,0,0,25
60.0,0,2,0,0,25
61.0,0,2,0,0,25
62.0,0,2,0,0,25
63.0,0,2,0,0,25
64.0,0,2,0,0,25
65.0,0,2,0,0,25
66.0,0,2,0,0,25
67.0,0,2,0,0,25
68.0,0,2,0,0,25
69.0,0,2,0,0,25
70.0,0,2,0,0,25
71.0,0,2,0,0,25
72.0,0,2,0,0,25
73.0,0,2,0,0,25
74.0,0,2,0,0,25
75.0,0,2,0,0,25
76.0,0,2,0,0,25
77.0,0,2,0,0,25
78.0,0,2,0,0,25
79.0,0,2,0,0,25
80.0,0,2,0,0,25
81.0,0,2,0,0,25
82.0,0,2,0,0,25
83.0,0,2,0,0,25
84.0,0,2,0,0,25
85.0,0,2,0,0,25
86.0,0,2,0,0,25
87.0,0,2,0,0,25
88.0,0,2,0,0,25
89.0,0,2,0,0,25
90.0,0,2,0,0,25
91.0,0,2,0,0,25
92.0,0,2,0,0,25
93.0,0,2,0,0,25
94.0,0,2,0,0,25
95.0,0,2,0,0,25
96.0,0,2,0,0,25
97.0,0,2,0,0,25
98.0,0,2,0,0,25
99.0,0,2,0,0,25
100.0,0,2,0,0,25
