time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,1,0
2.0,2,198,2,1,0
3.0,2,198,2,1,0
4.0,12,188,12,2,0
5.0,16,184,16,3,0
6.0,27,173,27,4,0
7.0,46,154,46,6,0
8.0,60,140,60,9,0
9.0,80,120,80,13,0
10.0,92,107,92,15,1
11.0,111,88,111,20,1
12.0,125,73,125,23,1
13.0,138,60,138,26,1
14.0,145,43,145,29,2
15.0,151,33,151,31,3
16.0,147,26,147,30,4
17.0,138,16,138,31,6
18.0,133,7,133,30,9
19.0,113,7,113,26,13
20.0,101,6,101,23,16
21.0,84,4,84,19,21
22.0,69,4,69,16,24
23.0,56,4,56,13,27
24.0,40,3,40,10,31
25.0,30,3,30,7,34
26.0,23,3,23,7,34
27.0,13,3,13,4,37
28.0,4,3,4,2,39
29.0,4,3,4,2,39
30.0,3,3,3,2,39
31.0,1,3,1,1,40
32.0,1,3,1,1,40
33.0,1,3,1,1,40
34.0,0,3,0,0,41
35.0,0,3,0,0,41
36.0,0,3,0,0,41
37.0,0,3,0,0,41
38.0,0,3,0,0,41
39.0,0,3,0,0,41
40.0,0,3,0,0,41
41.0,0,3,0,0,41
42.0,0,3,0,0,41
43.0,0,3,0,0,41
44.0,0,3,0,0,41
45.0,0,3,0,0,41
46.0,0,3,0,0,41
47.0,0,3,0,0,41
48.0,0,3,0,0,41
49.0,0,3,0,0,41
50.0,0,3,0,0,41
51.0,0,3,0,0,41
52.0,0,3,0,0,41
53.0,0,3,0,0,41
54.0,0,3,0,0,41
55.0,0,3,0,0,41
56.0,0,3,0,0,41
57.0,0,3,0,0,41
58.0,0,3,0,0,41
59.0,0,3,0,0,41
60.0,0,3,0,0,41
61.0,0,3,0,0,41
62.0,0,3,0,0,41
63.0,0,3,0,0,41
64.0,0,3,0,0,41
65.0,0,3,0,0,41
66.0,0,3,0,0,41
67.0,0,3,0,0,41
68.0,0,3,0,0,41
69.0,0,3,0,0,41
70.0,0,3,0,0,41
71.0,0,3,0,0,41
72.0,0,3,0,0,41
73.0,0,3,0,0,41
74.0,0,3,0,0,41
75.0,0,3,0,0,41
76.0,0,3,0,0,41
77.0,0,3,0,0,41
78.0,0,3,0,0,41
79.0,0,3,0,0,41
80.0,0,3,0,0,41
81.0,0,3,0,0,41
82.0,0,3,0,0,41
83.0,0,3,0,0,41
84.0,0,3,0,0,41
85.0,0,3,0,0,41
86.0,0,3,0,0,41
87.0,0,3,0,0,41
88.0,0,3,0,0,41
89.0,0,3,0,0,41
90.0,0,3,0,0,41
91.0,0,3,0,0,41
92.0,0,3,0,0,41
93.0,0,3,0,0,41
94.0,0,3,0,0,41
95.0,0,3,0,0,41
96.0,0,3,0,0,41
97.0,0,3,0,0,41
98.0,0,3,0,0,41
99.0,0,3,0,0,41
100.0,0,3,0,0,41
