time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,198,2,0,0
2.0,3,197,3,0,0
3.0,3,197,3,0,0
4.0,4,196,4,1,0
5.0,4,196,4,1,0
6.0,6,194,6,2,0
7.0,11,189,11,4,0
8.0,19,181,19,7,0
9.0,23,177,23,8,0
10.0,35,164,35,9,0
11.0,44,154,44,11,0
12.0,57,140,57,14,0
13.0,79,118,79,20,0
14.0,94,102,94,21,1
15.0,124,72,124,26,1
16.0,133,61,133,29,2
17.0,145,44,145,30,4
18.0,146,35,146,30,7
19.0,149,28,149,30,8
20.0,143,21,143,31,9
21.0,137,17,137,29,11
22.0,126,14,126,28,14
23.0,106,12,106,22,20
24.0,92,10,92,20,22
25.0,65,7,65,15,27
26.0,56,5,56,12,31
27.0,40,4,40,9,34
28.0,32,3,32,6,37
29.0,25,3,25,5,38
30.0,18,3,18,3,40
31.0,14,3,14,3,40
32.0,11,3,11,1,42
33.0,9,3,9,1,42
34.0,7,3,7,1,42
35.0,4,3,4,1,42
36.0,2,3,2,0,43
37.0,1,3,1,0,43
38.0,0,3,0,0,43
39.0,0,3,0,0,43
40.0,0,3,0,0,43
41.0,0,3,0,0,43
42.0,0,3,0,0,43
43.0,0,3,0,0,43
44.0,0,3,0,0,43
45.0,0,3,0,0,43
46.0,0,3,0,0,43
47.0,0,3,0,0,43
48.0,0,3,0,0,43
49.0,0,3,0,0,43
50.0,0,3,0,0,43
51.0,0,3,0,0,43
52.0,0,3,0,0,43
53.0,0,3,0,0,43
54.0,0,3,0,0,43
55.0,0,3,0,0,43
56.0,0,3,0,0,43
57.0,0,3,0,0,43
58.0,0,3,0,0,43
59.0,0,3,0,0,43
60.0,0,3,0,0,43
61.0,0,3,0,0,43
62.0,0,3,0,0,43
63.0,0,3,0,0,43
64.0,0,3,0,0,43
65.0,0,3,0,0,43
66.0,0,3,0,0,43
67.0,0,3,0,0,43
68.0,0,3,0,0,43
69.0,0,3,0,0,43
70.0,0,3,0,0,43
71.0,0,3,0,0,43
72.0,0,3,0,0,43
73.0,0,3,0,0,43
74.0,0,3,0,0,43
75.0,0,3,0,0,43
76.0,0,3,0,0,43
77.0,0,3,0,0,43
78.0,0,3,0,0,43
79.0,0,3,0,0,43
80.0,0,3,0,0,43
81.0,0,3,0,0,43
82.0,0,3,0,0,43
83.0,0,3,0,0,43
84.0,0,3,0,0,43
85.0,0,3,0,0,43
86.0,0,3,0,0,43
87.0,0,3,0,0,43
88.0,0,3,0,0,43
89.0,0,3,0,0,43
90.0,0,3,0,0,43
91.0,0,3,0,0,43
92.0,0,3,0,0,43
93.0,0,3,0,0,43
94.0,0,3,0,0,43
95.0,0,3,0,0,43
96.0,0,3,0,0,43
97.0,0,3,0,0,43
98.0,0,3,0,0,43
99.0,0,3,0,0,43
100.0,0,3,0,0,43
