time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,3,197,3,0,0
3.0,4,196,4,1,0
4.0,8,192,8,1,0
5.0,13,187,13,2,0
6.0,22,178,22,5,0
7.0,25,175,25,5,0
8.0,34,166,34,7,0
9.0,44,156,44,11,0
10.0,55,144,55,17,0
11.0,71,128,71,23,0
12.0,82,115,82,30,0
13.0,96,100,96,33,1
14.0,110,82,110,35,1
15.0,118,69,118,36,2
16.0,125,53,125,36,5
17.0,135,40,135,38,5
18.0,132,34,132,39,7
19.0,132,24,132,36,11
20.0,125,19,125,31,17
21.0,115,13,115,25,23
22.0,105,10,105,19,30
23.0,91,9,91,15,34
24.0,74,8,74,13,36
25.0,61,8,61,11,38
26.0,45,8,45,8,41
27.0,34,6,34,7,43
28.0,28,6,28,4,46
29.0,18,6,18,3,47
30.0,14,5,14,3,48
31.0,8,5,8,3,48
32.0,5,5,5,2,49
33.0,4,5,4,2,49
34.0,3,5,3,2,49
35.0,3,5,3,2,49
36.0,3,5,3,2,49
37.0,1,5,1,1,50
38.0,1,5,1,1,50
39.0,1,5,1,1,50
40.0,0,5,0,0,51
41.0,0,5,0,0,51
42.0,0,5,0,0,51
43.0,0,5,0,0,51
44.0,0,5,0,0,51
45.0,0,5,0,0,51
46.0,0,5,0,0,51
47.0,0,5,0,0,51
48.0,0,5,0,0,51
49.0,0,5,0,0,51
50.0,0,5,0,0,51
51.0,0,5,0,0,51
52.0,0,5,0,0,51
53.0,0,5,0,0,51
54.0,0,5,0,0,51
55.0,0,5,0,0,51
56.0,0,5,0,0,51
57.0,0,5,0,0,51
58.0,0,5,0,0,51
59.0,0,5,0,0,51
60.0,0,5,0,0,51
61.0,0,5,0,0,51
62.0,0,5,0,0,51
63.0,0,5,0,0,51
64.0,0,5,0,0,51
65.0,0,5,0,0,51
66.0,0,5,0,0,51
67.0,0,5,0,0,51
68.0,0,5,0,0,51
69.0,0,5,0,0,51
70.0,0,5,0,0,51
71.0,0,5,0,0,51
72.0,0,5,0,0,51
73.0,0,5,0,0,51
74.0,0,5,0,0,51
75.0,0,5,0,0,51
76.0,0,5,0,0,51
77.0,0,5,0,0,51
78.0,0,5,0,0,51
79.0,0,5,0,0,51
80.0,0,5,0,0,51
81.0,0,5,0,0,51
82.0,0,5,0,0,51
83.0,0,5,0,0,51
84.0,0,5,0,0,51
85.0,0,5,0,0,51
86.0,0,5,0,0,51
87.0,0,5,0,0,51
88.0,0,5,0,0,51
89.0,0,5,0,0,51
90.0,0,5,0,0,51
91.0,0,5,0,0,51
92.0,0,5,0,0,51
93.0,0,5,0,0,51
94.0,0,5,0,0,51
95.0,0,5,0,0,51
96.0,0,5,0,0,51
97.0,0,5,0,0,51
98.0,0,5,0,0,51
99.0,0,5,0,0,51
100.0,0,5,0,0,51
