time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2,1,199,1,0,0
3,1,199,1,0,0
4.0,4,196,4,1,0
5.0,6,194,6,2,0
6.0,10,190,10,3,0
7.0,17,183,17,4,0
8.0,21,179,21,5,0
9.0,28,172,28,7,0
10.0,42,157,42,9,0
11.0,46,153,46,11,0
12.0,60,139,60,13,0
13.0,77,122,77,15,0
14.0,90,106,90,21,1
15.0,99,95,99,23,2
16.0,111,79,111,25,3
17.0,114,69,114,25,4
18.0,121,58,121,27,5
19.0,133,39,133,33,7
20.0,129,28,129,32,9
21.0,130,23,130,31,11
22.0,125,14,125,30,13
23.0,110,12,110,28,15
24.0,96,10,96,21,22
25.0,85,10,85,18,25
26.0,69,10,69,15,28
27.0,63,6,63,17,29
28.0,53,5,53,14,32
29.0,34,5,34,6,40
30.0,23,5,23,5,41
31.0,18,5,18,4,42
32.0,10,4,10,3,43
33.0,8,4,8,3,43
34.0,6,4,6,3,43
35.0,6,4,6,3,43
36.0,7,3,7,3,43
37.0,3,3,3,0,46
38.0,2,3,2,0,46
39.0,2,3,2,0,46
40.0,2,3,2,0,46
41.0,2,3,2,0,46
42.0,1,3,1,0,46
43.0,1,3,1,0,46
44.0,1,3,1,0,46
45.0,1,3,1,0,46
46.0,0,3,0,0,46
47.0,0,3,0,0,46
48.0,0,3,0,0,46
49.0,0,3,0,0,46
50.0,0,3,0,0,46
51.0,0,3,0,0,46
52.0,0,3,0,0,46
53.0,0,3,0,0,46
54.0,0,3,0,0,46
55.0,0,3,0,0,46
56.0,0,3,0,0,46
57.0,0,3,0,0,46
58.0,0,3,0,0,46
59.0,0,3,0,0,46
60.0,0,3,0,0,46
61.0,0,3,0,0,46
62.0,0,3,0,0,46
63.0,0,3,0,0,46
64.0,0,3,0,0,46
65.0,0,3,0,0,46
66.0,0,3,0,0,46
67.0,0,3,0,0,46
68.0,0,3,0,0,46
69.0,0,3,0,0,46
70.0,0,3,0,0,46
71.0,0,3,0,0,46
72.0,0,3,0,0,46
73.0,0,3,0,0,46
74.0,0,3,0,0,46
75.0,0,3,0,0,46
76.0,0,3,0,0,46
77.0,0,3,0,0,46
78.0,0,3,0,0,46
79.0,0,3,0,0,46
80.0,0,3,0,0,46
81.0,0,3,0,0,46
82.0,0,3,0,0,46
83.0,0,3,0,0,46
84.0,0,3,0,0,46
85.0,0,3,0,0,46
86.0,0,3,0,0,46
87.0,0,3,0,0,46
88.0,0,3,0,0,46
89.0,0,3,0,0,46
90.0,0,3,0,0,46
91.0,0,3,0,0,46
92.0,0,3,0,0,46
93.0,0,3,0,0,46
94.0,0,3,0,0,46
95.0,0,3,0,0,46
96.0,0,3,0,0,46
97.0,0,3,0,0,46
98.0,0,3,0,0,46
99.0,0,3,0,0,46
100.0,0,3,0,0,46
