time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,0,0
2.0,2,198,2,0,0
3.0,3,197,3,0,0
4.0,6,194,6,1,0
5.0,6,194,6,1,0
6.0,7,193,7,1,0
7.0,8,192,8,1,0
8.0,11,189,11,2,0
9.0,15,185,15,2,0
10.0,22,177,22,3,0
11.0,30,169,30,5,0
12.0,39,159,39,7,0
13.0,54,143,54,12,0
14.0,72,122,72,15,1
15.0,91,103,91,18,1
16.0,106,87,106,25,1
17.0,120,72,120,27,1
18.0,132,57,132,29,2
19.0,138,47,138,32,2
20.0,147,30,147,34,3
21.0,147,22,147,32,5
22.0,140,19,140,31,7
23.0,128,15,128,26,12
24.0,114,8,114,23,16
25.0,98,5,98,20,19
26.0,84,3,84,13,26
27.0,69,3,69,11,28
28.0,54,3,54,8,31
29.0,44,3,44,5,34
30.0,27,3,27,2,37
31.0,19,3,19,2,37
32.0,16,3,16,1,38
33.0,12,3,12,1,38
34.0,5,3,5,0,39
35.0,2,3,2,0,39
36.0,0,3,0,0,39
37.0,0,3,0,0,39
38.0,0,3,0,0,39
39.0,0,3,0,0,39
40.0,0,3,0,0,39
41.0,0,3,0,0,39
42.0,0,3,0,0,39
43.0,0,3,0,0,39
44.0,0,3,0,0,39
45.0,0,3,0,0,39
46.0,0,3,0,0,39
47.0,0,3,0,0,39
48.0,0,3,0,0,39
49.0,0,3,0,0,39
50.0,0,3,0,0,39
51.0,0,3,0,0,39
52.0,0,3,0,0,39
53.0,0,3,0,0,39
54.0,0,3,0,0,39
55.0,0,3,0,0,39
56.0,0,3,0,0,39
57.0,0,3,0,0,39
58.0,0,3,0,0,39
59.0,0,3,0,0,39
60.0,0,3,0,0,39
61.0,0,3,0,0,39
62.0,0,3,0,0,39
63.0,0,3,0,0,39
64.0,0,3,0,0,39
65.0,0,3,0,0,39
66.0,0,3,0,0,39
67.0,0,3,0,0,39
68.0,0,3,0,0,39
69.0,0,3,0,0,39
70.0,0,3,0,0,39
71.0,0,3,0,0,39
72.0,0,3,0,0,39
73.0,0,3,0,0,39
74.0,0,3,0,0,39
75.0,0,3,0,0,39
76.0,0,3,0,0,39
77.0,0,3,0,0,39
78.0,0,3,0,0,39
79.0,0,3,0,0,39
80.0,0,3,0,0,39
81.0,0,3,0,0,39
82.0,0,3,0,0,39
83.0,0,3,0,0,39
84.0,0,3,0,0,39
85.0,0,3,0,0,39
86.0,0,3,0,0,39
87.0,0,3,0,0,39
88.0,0,3,0,0,39
89.0,0,3,0,0,39
90.0,0,3,0,0,39
91.0,0,3,0,0,39
92.0,0,3,0,0,39
93.0,0,3,0,0,39
94.0,0,3,0,0,39
95.0,0,3,0,0,39
96.0,0,3,0,0,39
97.0,0,3,0,0,39
98.0,0,3,0,0,39
99.0,0,3,0,0,39
100.0,0,3,0,0,39
