time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,199,1,1,0
2.0,2,198,2,1,0
3.0,2,198,2,1,0
4.0,5,195,5,1,0
5.0,11,189,11,3,0
6.0,15,185,15,4,0
7.0,18,182,18,5,0
8.0,22,178,22,5,0
9.0,27,173,27,5,0
10.0,32,167,32,4,1
11.0,41,158,41,5,1
12.0,58,140,58,9,1
13.0,74,124,74,15,1
14.0,94,101,94,19,1
15.0,106,83,106,19,3
16.0,118,67,118,21,4
17.0,128,54,128,23,5
18.0,129,49,129,24,5
19.0,135,38,135,26,5
20.0,137,30,137,26,5
21.0,131,27,131,25,6
22.0,120,20,120,22,10
23.0,106,18,106,17,16
24.0,85,16,85,13,20
25.0,70,13,70,11,22
26.0,56,11,56,9,25
27.0,43,11,43,6,28
28.0,38,11,38,5,29
29.0,29,9,29,3,31
30.0,21,9,21,3,31
31.0,19,8,19,3,31
32.0,13,7,13,2,32
33.0,11,7,11,1,33
34.0,9,7,9,1,33
35.0,6,7,6,1,33
36.0,4,7,4,0,34
37.0,4,7,4,0,34
38.0,4,7,4,0,34
39.0,2,7,2,0,34
40.0,2,7,2,0,34
41.0,1,7,1,0,34
42.0,0,7,0,0,34
43.0,0,7,0,0,34
44.0,0,7,0,0,34
45.0,0,7,0,0,34
46.0,0,7,0,0,34
47.0,0,7,0,0,34
48.0,0,7,0,0,34
49.0,0,7,0,0,34
50.0,0,7,0,0,34
51.0,0,7,0,0,34
52.0,0,7,0,0,34
53.0,0,7,0,0,34
54.0,0,7,0,0,34
55.0,0,7,0,0,34
56.0,0,7,0,0,34
57.0,0,7,0,0,34
58.0,0,7,0,0,34
59.0,0,7,0,0,34
60.0,0,7,0,0,34
61.0,0,7,0,0,34
62.0,0,7,0,0,34
63.0,0,7,0,0,34
64.0,0,7,0,0,34
65.0,0,7,0,0,34
66.0,0,7,0,0,34
67.0,0,7,0,0,34
68.0,0,7,0,0,34
69.0,0,7,0,0,34
70.0,0,7,0,0,34
71.0,0,7,0,0,34
72.0,0,7,0,0,34
73.0,0,7,0,0,34
74.0,0,7,0,0,34
75.0,0,7,0,0,34
76.0,0,7,0,0,34
77.0,0,7,0,0,34
78.0,0,7,0,0,34
79.0,0,7,0,0,34
80.0,0,7,0,0,34
81.0,0,7,0,0,34
82.0,0,7,0,0,34
83.0,0,7,0,0,34
84.0,0,7,0,0,34
85.0,0,7,0,0,34
86.0,0,7,0,0,34
87.0,0,7,0,0,34
88.0,0,7,0,0,34
89.0,0,7,0,0,34
90.0,0,7,0,0,34
91.0,0,7,0,0,34
92.0,0,7,0,0,34
93.0,0,7,0,0,34
94.0,0,7,0,0,34
95.0,0,7,0,0,34
96.0,0,7,0,0,34
97.0,0,7,0,0,34
98.0,0,7,0,0,34
99.0,0,7,0,0,34
100.0,0,7,0,0,34
