time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,31,204,31,4,0
2.0,107,128,107,19,0
3.0,139,96,139,24,0
4.0,163,72,163,30,0
5.0,176,59,176,34,0
6.0,192,43,192,36,0
7.0,202,33,202,37,0
8.0,204,31,204,37,0
9.0,211,24,211,39,0
10.0,212,22,212,39,1
11.0,185,19,185,36,4
12.0,110,18,110,21,19
13.0,78,18,78,16,24
14.0,54,18,54,10,30
15.0,41,18,41,6,34
16.0,25,18,25,4,36
17.0,15,18,15,3,37
18.0,13,18,13,3,37
19.0,6,18,6,1,39
20.0,4,18,4,0,40
21.0,1,18,1,0,40
22.0,0,18,0,0,40
23.0,0,18,0,0,40
24.0,0,18,0,0,40
25.0,0,18,0,0,40
26.0,0,18,0,0,40
27.0,0,18,0,0,40
28.0,0,18,0,0,40
29.0,0,18,0,0,40
30.0,0,18,0,0,40
31.0,0,18,0,0,40
32.0,0,18,0,0,40
33.0,0,18,0,0,40
34.0,0,18,0,0,40
35.0,0,18,0,0,40
36.0,0,18,0,0,40
37.0,0,18,0,0,40
38.0,0,18,0,0,40
39.0,0,18,0,0,40
40.0,0,18,0,0,40
41.0,0,18,0,0,40
42.0,0,18,0,0,40
43.0,0,18,0,0,40
44.0,0,18,0,0,40
45.0,0,18,0,0,40
46.0,0,18,0,0,40
47.0,0,18,0,0,40
48.0,0,18,0,0,40
49.0,0,18,0,0,40
50.0,0,18,0,0,40
51.0,0,18,0,0,40
52.0,0,18,0,0,40
53.0,0,18,0,0,40
54.0,0,18,0,0,40
55.0,0,18,0,0,40
56.0,0,18,0,0,40
57.0,0,18,0,0,40
58.0,0,18,0,0,40
59.0,0,18,0,0,40
60.0,0,18,0,0,40
61.0,0,18,0,0,40
62.0,0,18,0,0,40
63.0,0,18,0,0,40
64.0,0,18,0,0,40
65.0,0,18,0,0,40
66.0,0,18,0,0,40
67.0,0,18,0,0,40
68.0,0,18,0,0,40
69.0,0,18,0,0,40
70.0,0,18,0,0,40
71.0,0,18,0,0,40
72.0,0,18,0,0,40
73.0,0,18,0,0,40
74.0,0,18,0,0,40
75.0,0,18,0,0,40
76.0,0,18,0,0,40
77.0,0,18,0,0,40
78.0,0,18,0,0,40
79.0,0,18,0,0,40
80.0,0,18,0,0,40
81.0,0,18,0,0,40
82.0,0,18,0,0,40
83.0,0,18,0,0,40
84.0,0,18,0,0,40
85.0,0,18,0,0,40
86.0,0,18,0,0,40
87.0,0,18,0,0,40
88.0,0,18,0,0,40
89.0,0,18,0,0,40
90.0,0,18,0,0,40
91.0,0,18,0,0,40
92.0,0,18,0,0,40
93.0,0,18,0,0,40
94.0,0,18,0,0,40
95.0,0,18,0,0,40
96.0,0,18,0,0,40
97.0,0,18,0,0,40
98.0,0,18,0,0,40
99.0,0,18,0,0,40
100.0,0,18,0,0,40
