time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,37,198,37,6,0
2.0,123,112,123,23,0
3.0,167,68,167,33,0
4.0,182,53,182,33,0
5.0,192,43,192,35,0
6.0,201,34,201,37,0
7.0,210,25,210,37,0
8.0,217,18,217,39,0
9.0,219,16,219,40,0
10.0,220,14,220,41,0
11.0,185,13,185,35,6
12.0,101,11,101,18,23
13.0,58,10,58,9,33
14.0,43,10,43,9,33
15.0,33,10,33,7,35
16.0,24,10,24,5,37
17.0,15,10,15,5,37
18.0,8,10,8,3,39
19.0,6,10,6,2,40
20.0,4,10,4,1,41
21.0,3,10,3,1,41
22.0,1,10,1,1,41
23.0,0,10,0,0,42
24.0,0,10,0,0,42
25.0,0,10,0,0,42
26.0,0,10,0,0,42
27.0,0,10,0,0,42
28.0,0,10,0,0,42
29.0,0,10,0,0,42
30.0,0,10,0,0,42
31.0,0,10,0,0,42
32.0,0,10,0,0,42
33.0,0,10,0,0,42
34.0,0,10,0,0,42
35.0,0,10,0,0,42
36.0,0,10,0,0,42
37.0,0,10,0,0,42
38.0,0,10,0,0,42
39.0,0,10,0,0,42
40.0,0,10,0,0,42
41.0,0,10,0,0,42
42.0,0,10,0,0,42
43.0,0,10,0,0,42
44.0,0,10,0,0,42
45.0,0,10,0,0,42
46.0,0,10,0,0,42
47.0,0,10,0,0,42
48.0,0,10,0,0,42
49.0,0,10,0,0,42
50.0,0,10,0,0,42
51.0,0,10,0,0,42
52.0,0,10,0,0,42
53.0,0,10,0,0,42
54.0,0,10,0,0,42
55.0,0,10,0,0,42
56.0,0,10,0,0,42
57.0,0,10,0,0,42
58.0,0,10,0,0,42
59.0,0,10,0,0,42
60.0,0,10,0,0,42
61.0,0,10,0,0,42
62.0,0,10,0,0,42
63.0,0,10,0,0,42
64.0,0,10,0,0,42
65.0,0,10,0,0,42
66.0,0,10,0,0,42
67.0,0,10,0,0,42
68.0,0,10,0,0,42
69.0,0,10,0,0,42
70.0,0,10,0,0,42
71.0,0,10,0,0,42
72.0,0,10,0,0,42
73.0,0,10,0,0,42
74.0,0,10,0,0,42
75.0,0,10,0,0,42
76.0,0,10,0,0,42
77.0,0,10,0,0,42
78.0,0,10,0,0,42
79.0,0,10,0,0,42
80.0,0,10,0,0,42
81.0,0,10,0,0,42
82.0,0,10,0,0,42
83.0,0,10,0,0,42
84.0,0,10,0,0,42
85.0,0,10,0,0,42
86.0,0,10,0,0,42
87.0,0,10,0,0,42
88.0,0,10,0,0,42
89.0,0,10,0,0,42
90.0,0,10,0,0,42
91.0,0,10,0,0,42
92.0,0,10,0,0,42
93.0,0,10,0,0,42
94.0,0,10,0,0,42
95.0,0,10,0,0,42
96.0,0,10,0,0,42
97.0,0,10,0,0,42
98.0,0,10,0,0,42
99.0,0,10,0,0,42
100.0,0,10,0,0,42
