time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,49,1,1,0
2,1,49,1,1,0
3,1,49,1,1,0
4,1,49,1,1,0
5,1,49,1,1,0
6,1,49,1,1,0
7.0,2,48,2,2,0
8.0,3,47,3,2,0
9.0,4,46,4,2,0
10.0,4,45,4,1,1
11.0,5,44,5,1,1
12.0,6,43,6,2,1
13.0,7,42,7,2,1
14.0,12,37,12,3,1
15.0,20,29,20,4,1
16.0,27,22,27,5,1
17.0,28,20,28,4,2
18.0,33,14,33,5,2
19.0,35,11,35,6,2
20.0,36,9,36,7,2
21.0,37,7,37,8,2
22.0,36,7,36,7,3
23.0,40,2,40,10,3
24.0,35,2,35,9,4
25.0,28,1,28,9,5
26.0,21,1,21,8,6
27.0,19,1,19,8,6
28.0,13,1,13,7,7
29.0,10,1,10,6,8
30.0,8,1,8,5,9
31.0,6,1,6,4,10
32.0,6,1,6,4,10
33.0,1,1,1,1,13
34.0,1,1,1,1,13
35.0,0,1,0,0,14
36.0,0,1,0,0,14
37.0,0,1,0,0,14
38.0,0,1,0,0,14
39.0,0,1,0,0,14
40.0,0,1,0,0,14
41.0,0,1,0,0,14
42.0,0,1,0,0,14
43.0,0,1,0,0,14
44.0,0,1,0,0,14
45.0,0,1,0,0,14
46.0,0,1,0,0,14
47.0,0,1,0,0,14
48.0,0,1,0,0,14
49.0,0,1,0,0,14
50.0,0,1,0,0,14
51.0,0,1,0,0,14
52.0,0,1,0,0,14
53.0,0,1,0,0,14
54.0,0,1,0,0,14
55.0,0,1,0,0,14
56.0,0,1,0,0,14
57.0,0,1,0,0,14
58.0,0,1,0,0,14
59.0,0,1,0,0,14
60.0,0,1,0,0,14
61.0,0,1,0,0,14
62.0,0,1,0,0,14
63.0,0,1,0,0,14
64.0,0,1,0,0,14
65.0,0,1,0,0,14
66.0,0,1,0,0,14
67.0,0,1,0,0,14
68.0,0,1,0,0,14
69.0,0,1,0,0,14
70.0,0,1,0,0,14
71.0,0,1,0,0,14
72.0,0,1,0,0,14
73.0,0,1,0,0,14
74.0,0,1,0,0,14
75.0,0,1,0,0,14
76.0,0,1,0,0,14
77.0,0,1,0,0,14
78.0,0,1,0,0,14
79.0,0,1,0,0,14
80.0,0,1,0,0,14
81.0,0,1,0,0,14
82.0,0,1,0,0,14
83.0,0,1,0,0,14
84.0,0,1,0,0,14
85.0,0,1,0,0,14
86.0,0,1,0,0,14
87.0,0,1,0,0,14
88.0,0,1,0,0,14
89.0,0,1,0,0,14
90.0,0,1,0,0,14
91.0,0,1,0,0,14
92.0,0,1,0,0,14
93.0,0,1,0,0,14
94.0,0,1,0,0,14
95.0,0,1,0,0,14
96.0,0,1,0,0,14
97.0,0,1,0,0,14
98.0,0,1,0,0,14
99.0,0,1,0,0,14
100.0,0,1,0,0,14
